,,cases
Broomfield County and City,week 9,10
Broomfield County and City,week 10,102
Broomfield County and City,week 11,281
Broomfield County and City,week 12,505
Broomfield County and City,week 13,696
Broomfield County and City,week 14,909
Broomfield County and City,week 15,1127
Broomfield County and City,week 16,1351
Broomfield County and City,week 17,1461
Broomfield County and City,week 18,1538
Broomfield County and City,week 19,1647
Broomfield County and City,week 20,1770
Broomfield County and City,week 21,1839
Broomfield County and City,week 22,1932
Broomfield County and City,week 23,2043
Broomfield County and City,week 24,2177
Broomfield County and City,week 25,2365
Broomfield County and City,week 26,2507
Broomfield County and City,week 27,2648
Broomfield County and City,week 28,2836
Broomfield County and City,week 29,3224
Broomfield County and City,week 30,3416
Broomfield County and City,week 31,3571
Broomfield County and City,week 32,3708
Broomfield County and City,week 33,3813
Broomfield County and City,week 34,3936
Broomfield County and City,week 35,578
Chaffee County,week 1,0
Chaffee County,week 2,0
Chaffee County,week 3,0
Chaffee County,week 4,0
Chaffee County,week 5,0
Chaffee County,week 6,0
Chaffee County,week 7,0
Chaffee County,week 8,0
Chaffee County,week 9,11
Chaffee County,week 10,71
Chaffee County,week 11,141
Chaffee County,week 12,188
Chaffee County,week 13,252
Chaffee County,week 14,438
Chaffee County,week 15,468
Chaffee County,week 16,476
Chaffee County,week 17,483
Chaffee County,week 18,489
Chaffee County,week 19,511
Chaffee County,week 20,537
Chaffee County,week 21,539
Chaffee County,week 22,539
Chaffee County,week 23,539
Chaffee County,week 24,541
Chaffee County,week 25,697
Chaffee County,week 26,1225
Chaffee County,week 27,1743
Chaffee County,week 28,2000
Chaffee County,week 29,2094
Chaffee County,week 30,2126
Chaffee County,week 31,2163
Chaffee County,week 32,2207
Chaffee County,week 33,2217
Chaffee County,week 34,2227
Chaffee County,week 35,319
Cheyenne County,week 1,0
Cheyenne County,week 2,0
Cheyenne County,week 3,0
Cheyenne County,week 4,0
Cheyenne County,week 5,0
Cheyenne County,week 6,0
Cheyenne County,week 7,0
Cheyenne County,week 8,0
Cheyenne County,week 9,0
Cheyenne County,week 10,0
Cheyenne County,week 11,0
Cheyenne County,week 12,0
Cheyenne County,week 13,0
Cheyenne County,week 14,0
Cheyenne County,week 15,0
Cheyenne County,week 16,20
Cheyenne County,week 17,34
Cheyenne County,week 18,35
Cheyenne County,week 19,35
Cheyenne County,week 20,35
Cheyenne County,week 21,35
Cheyenne County,week 22,35
Cheyenne County,week 23,35
Cheyenne County,week 24,35
Cheyenne County,week 25,35
Cheyenne County,week 26,45
Cheyenne County,week 27,52
Cheyenne County,week 28,56
Cheyenne County,week 29,59
Cheyenne County,week 30,63
Cheyenne County,week 31,63
Cheyenne County,week 32,63
Cheyenne County,week 33,63
Cheyenne County,week 34,66
Cheyenne County,week 35,11
Clear Creek County,week 1,0
Clear Creek County,week 2,0
Clear Creek County,week 3,0
Clear Creek County,week 4,0
Clear Creek County,week 5,0
Clear Creek County,week 6,0
Clear Creek County,week 7,0
Clear Creek County,week 8,4
Clear Creek County,week 9,18
Clear Creek County,week 10,22
Clear Creek County,week 11,43
Clear Creek County,week 12,72
Clear Creek County,week 13,77
Clear Creek County,week 14,88
Clear Creek County,week 15,91
Clear Creek County,week 16,97
Clear Creek County,week 17,109
Clear Creek County,week 18,112
Clear Creek County,week 19,114
Clear Creek County,week 20,119
Clear Creek County,week 21,119
Clear Creek County,week 22,126
Clear Creek County,week 23,127
Clear Creek County,week 24,141
Clear Creek County,week 25,147
Clear Creek County,week 26,161
Clear Creek County,week 27,175
Clear Creek County,week 28,187
Clear Creek County,week 29,207
Clear Creek County,week 30,216
Clear Creek County,week 31,229
Clear Creek County,week 32,242
Clear Creek County,week 33,251
Clear Creek County,week 34,252
Clear Creek County,week 35,36
Conejos County,week 1,0
Conejos County,week 2,0
Conejos County,week 3,0
Conejos County,week 4,0
Conejos County,week 5,0
Conejos County,week 6,0
Conejos County,week 7,0
Conejos County,week 8,0
Conejos County,week 9,0
Conejos County,week 10,0
Conejos County,week 11,0
Conejos County,week 12,0
Conejos County,week 13,0
Conejos County,week 14,0
Conejos County,week 15,0
Conejos County,week 16,6
Conejos County,week 17,7
Conejos County,week 18,7
Conejos County,week 19,10
Conejos County,week 20,28
Conejos County,week 21,37
Conejos County,week 22,72
Conejos County,week 23,88
Conejos County,week 24,103
Conejos County,week 25,119
Conejos County,week 26,140
Conejos County,week 27,147
Conejos County,week 28,159
Conejos County,week 29,161
Conejos County,week 30,184
Conejos County,week 31,210
Conejos County,week 32,217
Conejos County,week 33,217
Conejos County,week 34,217
Conejos County,week 35,31
Costilla County,week 1,0
Costilla County,week 2,0
Costilla County,week 3,0
Costilla County,week 4,0
Costilla County,week 5,0
Costilla County,week 6,0
Costilla County,week 7,0
Costilla County,week 8,0
Costilla County,week 9,0
Costilla County,week 10,9
Costilla County,week 11,21
Costilla County,week 12,21
Costilla County,week 13,21
Costilla County,week 14,21
Costilla County,week 15,21
Costilla County,week 16,21
Costilla County,week 17,21
Costilla County,week 18,21
Costilla County,week 19,40
Costilla County,week 20,49
Costilla County,week 21,92
Costilla County,week 22,118
Costilla County,week 23,139
Costilla County,week 24,153
Costilla County,week 25,154
Costilla County,week 26,154
Costilla County,week 27,154
Costilla County,week 28,154
Costilla County,week 29,157
Costilla County,week 30,167
Costilla County,week 31,185
Costilla County,week 32,224
Costilla County,week 33,224
Costilla County,week 34,224
Costilla County,week 35,32
Crowley County,week 1,0
Crowley County,week 2,0
Crowley County,week 3,0
Crowley County,week 4,0
Crowley County,week 5,0
Crowley County,week 6,0
Crowley County,week 7,0
Crowley County,week 8,0
Crowley County,week 9,5
Crowley County,week 10,7
Crowley County,week 11,7
Crowley County,week 12,11
Crowley County,week 13,14
Crowley County,week 14,14
Crowley County,week 15,22
Crowley County,week 16,189
Crowley County,week 17,273
Crowley County,week 18,374
Crowley County,week 19,445
Crowley County,week 20,458
Crowley County,week 21,467
Crowley County,week 22,478
Crowley County,week 23,488
Crowley County,week 24,494
Crowley County,week 25,497
Crowley County,week 26,501
Crowley County,week 27,504
Crowley County,week 28,504
Crowley County,week 29,504
Crowley County,week 30,511
Crowley County,week 31,511
Crowley County,week 32,511
Crowley County,week 33,511
Crowley County,week 34,511
Crowley County,week 35,73
Custer County,week 1,0
Custer County,week 2,0
Custer County,week 3,0
Custer County,week 4,0
Custer County,week 5,0
Custer County,week 6,0
Custer County,week 7,0
Custer County,week 8,0
Custer County,week 9,0
Custer County,week 10,0
Custer County,week 11,11
Custer County,week 12,14
Custer County,week 13,14
Custer County,week 14,14
Custer County,week 15,14
Custer County,week 16,14
Custer County,week 17,14
Custer County,week 18,14
Custer County,week 19,14
Custer County,week 20,14
Custer County,week 21,14
Custer County,week 22,14
Custer County,week 23,14
Custer County,week 24,14
Custer County,week 25,29
Custer County,week 26,57
Custer County,week 27,70
Custer County,week 28,71
Custer County,week 29,77
Custer County,week 30,86
Custer County,week 31,91
Custer County,week 32,115
Custer County,week 33,119
Custer County,week 34,119
Custer County,week 35,17
Delta County,week 1,0
Delta County,week 2,0
Delta County,week 3,0
Delta County,week 4,0
Delta County,week 5,0
Delta County,week 6,0
Delta County,week 7,0
Delta County,week 8,0
Delta County,week 9,1
Delta County,week 10,7
Delta County,week 11,24
Delta County,week 12,48
Delta County,week 13,132
Delta County,week 14,196
Delta County,week 15,334
Delta County,week 16,375
Delta County,week 17,382
Delta County,week 18,439
Delta County,week 19,480
Delta County,week 20,518
Delta County,week 21,537
Delta County,week 22,559
Delta County,week 23,573
Delta County,week 24,583
Delta County,week 25,584
Delta County,week 26,610
Delta County,week 27,671
Delta County,week 28,744
Delta County,week 29,845
Delta County,week 30,927
Delta County,week 31,985
Delta County,week 32,1104
Delta County,week 33,1180
Delta County,week 34,1217
Delta County,week 35,177
Denver County,week 1,0
Denver County,week 2,0
Denver County,week 3,0
Denver County,week 4,0
Denver County,week 5,0
Denver County,week 6,0
Denver County,week 7,14
Denver County,week 8,140
Denver County,week 9,700
Denver County,week 10,2567
Denver County,week 11,5270
Denver County,week 12,6489
Denver County,week 13,11503
Denver County,week 14,17171
Denver County,week 15,22524
Denver County,week 16,27741
Denver County,week 17,31779
Denver County,week 18,35671
Denver County,week 19,39440
Denver County,week 20,42434
Denver County,week 21,44101
Denver County,week 22,46099
Denver County,week 23,48621
Denver County,week 24,51188
Denver County,week 25,54670
Denver County,week 26,58168
Denver County,week 27,63347
Denver County,week 28,67794
Denver County,week 29,71121
Denver County,week 30,73605
Denver County,week 31,75907
Denver County,week 32,78238
Denver County,week 33,80154
Denver County,week 34,82339
Denver County,week 35,12055
Dolores County,week 1,0
Dolores County,week 2,0
Dolores County,week 3,0
Dolores County,week 4,0
Dolores County,week 5,0
Dolores County,week 6,0
Dolores County,week 7,0
Dolores County,week 8,0
Dolores County,week 9,0
Dolores County,week 10,0
Dolores County,week 11,0
Dolores County,week 12,0
Dolores County,week 13,0
Dolores County,week 14,0
Dolores County,week 15,0
Dolores County,week 16,0
Dolores County,week 17,0
Dolores County,week 18,0
Dolores County,week 19,0
Dolores County,week 20,0
Dolores County,week 21,0
Dolores County,week 22,0
Dolores County,week 23,0
Dolores County,week 24,0
Dolores County,week 25,0
Dolores County,week 26,5
Dolores County,week 27,7
Dolores County,week 28,7
Dolores County,week 29,7
Dolores County,week 30,9
Dolores County,week 31,14
Dolores County,week 32,14
Dolores County,week 33,14
Dolores County,week 34,18
Dolores County,week 35,3
Douglas County,week 1,0
Douglas County,week 2,0
Douglas County,week 3,0
Douglas County,week 4,0
Douglas County,week 5,0
Douglas County,week 6,0
Douglas County,week 7,12
Douglas County,week 8,40
Douglas County,week 9,202
Douglas County,week 10,658
Douglas County,week 11,1414
Douglas County,week 12,2001
Douglas County,week 13,2487
Douglas County,week 14,2971
Douglas County,week 15,3566
Douglas County,week 16,4116
Douglas County,week 17,4445
Douglas County,week 18,4702
Douglas County,week 19,4984
Douglas County,week 20,5260
Douglas County,week 21,5557
Douglas County,week 22,5900
Douglas County,week 23,6437
Douglas County,week 24,7021
Douglas County,week 25,7928
Douglas County,week 26,9155
Douglas County,week 27,10405
Douglas County,week 28,11381
Douglas County,week 29,12072
Douglas County,week 30,12695
Douglas County,week 31,13260
Douglas County,week 32,13883
Douglas County,week 33,14601
Douglas County,week 34,15368
Douglas County,week 35,2252
Eagle County,week 1,0
Eagle County,week 2,0
Eagle County,week 3,0
Eagle County,week 4,0
Eagle County,week 5,0
Eagle County,week 6,0
Eagle County,week 7,5
Eagle County,week 8,133
Eagle County,week 9,488
Eagle County,week 10,1246
Eagle County,week 11,2341
Eagle County,week 12,3004
Eagle County,week 13,3381
Eagle County,week 14,3603
Eagle County,week 15,3819
Eagle County,week 16,3897
Eagle County,week 17,3973
Eagle County,week 18,4037
Eagle County,week 19,4101
Eagle County,week 20,4238
Eagle County,week 21,4355
Eagle County,week 22,4510
Eagle County,week 23,4766
Eagle County,week 24,4920
Eagle County,week 25,5301
Eagle County,week 26,5814
Eagle County,week 27,6576
Eagle County,week 28,7285
Eagle County,week 29,7811
Eagle County,week 30,8026
Eagle County,week 31,8136
Eagle County,week 32,8234
Eagle County,week 33,8324
Eagle County,week 34,8436
Eagle County,week 35,1221
Elbert County,week 1,0
Elbert County,week 2,0
Elbert County,week 3,0
Elbert County,week 4,0
Elbert County,week 5,0
Elbert County,week 6,0
Elbert County,week 7,0
Elbert County,week 8,0
Elbert County,week 9,12
Elbert County,week 10,24
Elbert County,week 11,52
Elbert County,week 12,95
Elbert County,week 13,147
Elbert County,week 14,185
Elbert County,week 15,217
Elbert County,week 16,270
Elbert County,week 17,307
Elbert County,week 18,338
Elbert County,week 19,365
Elbert County,week 20,375
Elbert County,week 21,378
Elbert County,week 22,378
Elbert County,week 23,390
Elbert County,week 24,403
Elbert County,week 25,433
Elbert County,week 26,481
Elbert County,week 27,541
Elbert County,week 28,600
Elbert County,week 29,723
Elbert County,week 30,770
Elbert County,week 31,817
Elbert County,week 32,843
Elbert County,week 33,892
Elbert County,week 34,956
Elbert County,week 35,144
El Paso County,week 1,0
El Paso County,week 2,0
El Paso County,week 3,0
El Paso County,week 4,0
El Paso County,week 5,0
El Paso County,week 6,0
El Paso County,week 7,4
El Paso County,week 8,21
El Paso County,week 9,311
El Paso County,week 10,1348
El Paso County,week 11,2767
El Paso County,week 12,4040
El Paso County,week 13,4995
El Paso County,week 14,5917
El Paso County,week 15,6820
El Paso County,week 16,7758
El Paso County,week 17,8940
El Paso County,week 18,10388
El Paso County,week 19,11868
El Paso County,week 20,12761
El Paso County,week 21,13473
El Paso County,week 22,14520
El Paso County,week 23,16016
El Paso County,week 24,17942
El Paso County,week 25,20819
El Paso County,week 26,24213
El Paso County,week 27,28154
El Paso County,week 28,31594
El Paso County,week 29,34778
El Paso County,week 30,37911
El Paso County,week 31,39826
El Paso County,week 32,41752
El Paso County,week 33,43157
El Paso County,week 34,44428
El Paso County,week 35,6508
Fremont County,week 1,0
Fremont County,week 2,0
Fremont County,week 3,0
Fremont County,week 4,0
Fremont County,week 5,0
Fremont County,week 6,0
Fremont County,week 7,0
Fremont County,week 8,0
Fremont County,week 9,1
Fremont County,week 10,9
Fremont County,week 11,19
Fremont County,week 12,43
Fremont County,week 13,68
Fremont County,week 14,143
Fremont County,week 15,154
Fremont County,week 16,160
Fremont County,week 17,173
Fremont County,week 18,181
Fremont County,week 19,182
Fremont County,week 20,182
Fremont County,week 21,194
Fremont County,week 22,213
Fremont County,week 23,238
Fremont County,week 24,275
Fremont County,week 25,301
Fremont County,week 26,487
Fremont County,week 27,613
Fremont County,week 28,744
Fremont County,week 29,851
Fremont County,week 30,947
Fremont County,week 31,1020
Fremont County,week 32,1092
Fremont County,week 33,1134
Fremont County,week 34,1162
Fremont County,week 35,167
Garfield County,week 1,0
Garfield County,week 2,0
Garfield County,week 3,0
Garfield County,week 4,0
Garfield County,week 5,0
Garfield County,week 6,0
Garfield County,week 7,0
Garfield County,week 8,4
Garfield County,week 9,42
Garfield County,week 10,157
Garfield County,week 11,308
Garfield County,week 12,377
Garfield County,week 13,473
Garfield County,week 14,573
Garfield County,week 15,661
Garfield County,week 16,721
Garfield County,week 17,792
Garfield County,week 18,846
Garfield County,week 19,975
Garfield County,week 20,1118
Garfield County,week 21,1277
Garfield County,week 22,1517
Garfield County,week 23,1869
Garfield County,week 24,2196
Garfield County,week 25,2749
Garfield County,week 26,3499
Garfield County,week 27,4228
Garfield County,week 28,4910
Garfield County,week 29,5324
Garfield County,week 30,5535
Garfield County,week 31,5694
Garfield County,week 32,5859
Garfield County,week 33,6009
Garfield County,week 34,6212
Garfield County,week 35,906
Gilpin County,week 1,0
Gilpin County,week 2,0
Gilpin County,week 3,0
Gilpin County,week 4,0
Gilpin County,week 5,0
Gilpin County,week 6,0
Gilpin County,week 7,0
Gilpin County,week 8,0
Gilpin County,week 9,0
Gilpin County,week 10,0
Gilpin County,week 11,0
Gilpin County,week 12,6
Gilpin County,week 13,7
Gilpin County,week 14,7
Gilpin County,week 15,7
Gilpin County,week 16,7
Gilpin County,week 17,18
Gilpin County,week 18,21
Gilpin County,week 19,21
Gilpin County,week 20,32
Gilpin County,week 21,40
Gilpin County,week 22,42
Gilpin County,week 23,48
Gilpin County,week 24,52
Gilpin County,week 25,56
Gilpin County,week 26,84
Gilpin County,week 27,91
Gilpin County,week 28,103
Gilpin County,week 29,112
Gilpin County,week 30,119
Gilpin County,week 31,119
Gilpin County,week 32,120
Gilpin County,week 33,126
Gilpin County,week 34,126
Gilpin County,week 35,18
Grand County,week 1,0
Grand County,week 2,0
Grand County,week 3,0
Grand County,week 4,0
Grand County,week 5,0
Grand County,week 6,0
Grand County,week 7,0
Grand County,week 8,0
Grand County,week 9,11
Grand County,week 10,18
Grand County,week 11,28
Grand County,week 12,28
Grand County,week 13,29
Grand County,week 14,35
Grand County,week 15,35
Grand County,week 16,35
Grand County,week 17,35
Grand County,week 18,41
Grand County,week 19,87
Grand County,week 20,105
Grand County,week 21,110
Grand County,week 22,124
Grand County,week 23,133
Grand County,week 24,149
Grand County,week 25,185
Grand County,week 26,239
Grand County,week 27,274
Grand County,week 28,298
Grand County,week 29,324
Grand County,week 30,378
Grand County,week 31,393
Grand County,week 32,437
Grand County,week 33,464
Grand County,week 34,483
Grand County,week 35,71
Gunnison County,week 1,0
Gunnison County,week 2,0
Gunnison County,week 3,0
Gunnison County,week 4,0
Gunnison County,week 5,0
Gunnison County,week 6,0
Gunnison County,week 7,2
Gunnison County,week 8,42
Gunnison County,week 9,145
Gunnison County,week 10,494
Gunnison County,week 11,631
Gunnison County,week 12,692
Gunnison County,week 13,793
Gunnison County,week 14,993
Gunnison County,week 15,1155
Gunnison County,week 16,1211
Gunnison County,week 17,1232
Gunnison County,week 18,1238
Gunnison County,week 19,1240
Gunnison County,week 20,1252
Gunnison County,week 21,1267
Gunnison County,week 22,1274
Gunnison County,week 23,1303
Gunnison County,week 24,1320
Gunnison County,week 25,1342
Gunnison County,week 26,1394
Gunnison County,week 27,1533
Gunnison County,week 28,1755
Gunnison County,week 29,1889
Gunnison County,week 30,1949
Gunnison County,week 31,1990
Gunnison County,week 32,2029
Gunnison County,week 33,2059
Gunnison County,week 34,2072
Gunnison County,week 35,296
Hinsdale County,week 1,0
Hinsdale County,week 2,0
Hinsdale County,week 3,0
Hinsdale County,week 4,0
Hinsdale County,week 5,0
Hinsdale County,week 6,0
Hinsdale County,week 7,0
Hinsdale County,week 8,0
Hinsdale County,week 9,4
Hinsdale County,week 10,7
Hinsdale County,week 11,7
Hinsdale County,week 12,11
Hinsdale County,week 13,21
Hinsdale County,week 14,21
Hinsdale County,week 15,21
Hinsdale County,week 16,21
Hinsdale County,week 17,21
Hinsdale County,week 18,21
Hinsdale County,week 19,21
Hinsdale County,week 20,21
Hinsdale County,week 21,21
Hinsdale County,week 22,21
Hinsdale County,week 23,21
Hinsdale County,week 24,21
Hinsdale County,week 25,21
Hinsdale County,week 26,21
Hinsdale County,week 27,21
Hinsdale County,week 28,21
Hinsdale County,week 29,21
Hinsdale County,week 30,21
Hinsdale County,week 31,21
Hinsdale County,week 32,21
Hinsdale County,week 33,21
Hinsdale County,week 34,21
Hinsdale County,week 35,3
Huerfano County,week 1,0
Huerfano County,week 2,0
Huerfano County,week 3,0
Huerfano County,week 4,0
Huerfano County,week 5,0
Huerfano County,week 6,0
Huerfano County,week 7,0
Huerfano County,week 8,0
Huerfano County,week 9,1
Huerfano County,week 10,7
Huerfano County,week 11,7
Huerfano County,week 12,7
Huerfano County,week 13,7
Huerfano County,week 14,11
Huerfano County,week 15,14
Huerfano County,week 16,19
Huerfano County,week 17,21
Huerfano County,week 18,21
Huerfano County,week 19,21
Huerfano County,week 20,21
Huerfano County,week 21,21
Huerfano County,week 22,25
Huerfano County,week 23,28
Huerfano County,week 24,28
Huerfano County,week 25,30
Huerfano County,week 26,35
Huerfano County,week 27,41
Huerfano County,week 28,42
Huerfano County,week 29,55
Huerfano County,week 30,56
Huerfano County,week 31,56
Huerfano County,week 32,61
Huerfano County,week 33,65
Huerfano County,week 34,70
Huerfano County,week 35,12
Jackson County,week 1,0
Jackson County,week 2,0
Jackson County,week 3,0
Jackson County,week 4,0
Jackson County,week 5,0
Jackson County,week 6,0
Jackson County,week 7,0
Jackson County,week 8,0
Jackson County,week 9,0
Jackson County,week 10,0
Jackson County,week 11,0
Jackson County,week 12,0
Jackson County,week 13,0
Jackson County,week 14,0
Jackson County,week 15,0
Jackson County,week 16,0
Jackson County,week 17,0
Jackson County,week 18,0
Jackson County,week 19,0
Jackson County,week 20,0
Jackson County,week 21,0
Jackson County,week 22,0
Jackson County,week 23,7
Jackson County,week 24,14
Jackson County,week 25,41
Jackson County,week 26,56
Jackson County,week 27,56
Jackson County,week 28,56
Jackson County,week 29,62
Jackson County,week 30,63
Jackson County,week 31,63
Jackson County,week 32,63
Jackson County,week 33,63
Jackson County,week 34,63
Jackson County,week 35,9
Jefferson County,week 1,0
Jefferson County,week 2,0
Jefferson County,week 3,0
Jefferson County,week 4,0
Jefferson County,week 5,0
Jefferson County,week 6,0
Jefferson County,week 7,1
Jefferson County,week 8,64
Jefferson County,week 9,312
Jefferson County,week 10,1334
Jefferson County,week 11,3302
Jefferson County,week 12,5025
Jefferson County,week 13,6470
Jefferson County,week 14,8371
Jefferson County,week 15,9711
Jefferson County,week 16,11235
Jefferson County,week 17,12601
Jefferson County,week 18,14126
Jefferson County,week 19,15319
Jefferson County,week 20,16472
Jefferson County,week 21,17164
Jefferson County,week 22,17674
Jefferson County,week 23,18421
Jefferson County,week 24,19427
Jefferson County,week 25,20956
Jefferson County,week 26,22701
Jefferson County,week 27,25075
Jefferson County,week 28,27307
Jefferson County,week 29,29066
Jefferson County,week 30,30658
Jefferson County,week 31,31915
Jefferson County,week 32,33265
Jefferson County,week 33,34458
Jefferson County,week 34,35572
Jefferson County,week 35,5194
Kiowa County,week 1,0
Kiowa County,week 2,0
Kiowa County,week 3,0
Kiowa County,week 4,0
Kiowa County,week 5,0
Kiowa County,week 6,0
Kiowa County,week 7,0
Kiowa County,week 8,0
Kiowa County,week 9,0
Kiowa County,week 10,0
Kiowa County,week 11,0
Kiowa County,week 12,0
Kiowa County,week 13,0
Kiowa County,week 14,0
Kiowa County,week 15,0
Kiowa County,week 16,0
Kiowa County,week 17,0
Kiowa County,week 18,0
Kiowa County,week 19,0
Kiowa County,week 20,0
Kiowa County,week 21,0
Kiowa County,week 22,0
