,,deaths
Broomfield County,week 15,81
Broomfield County,week 16,119
Broomfield County,week 17,154
Broomfield County,week 18,174
Broomfield County,week 19,184
Broomfield County,week 20,189
Broomfield County,week 21,196
Broomfield County,week 22,197
Broomfield County,week 23,205
Broomfield County,week 24,210
Broomfield County,week 25,210
Broomfield County,week 26,212
Broomfield County,week 27,224
Broomfield County,week 28,224
Broomfield County,week 29,224
Broomfield County,week 30,224
Broomfield County,week 31,225
Broomfield County,week 32,231
Broomfield County,week 33,231
Broomfield County,week 34,231
Broomfield County,week 35,33
Chaffee County,week 1,0
Chaffee County,week 2,0
Chaffee County,week 3,0
Chaffee County,week 4,0
Chaffee County,week 5,0
Chaffee County,week 6,0
Chaffee County,week 7,0
Chaffee County,week 8,0
Chaffee County,week 9,0
Chaffee County,week 10,6
Chaffee County,week 11,13
Chaffee County,week 12,20
Chaffee County,week 13,28
Chaffee County,week 14,71
Chaffee County,week 15,107
Chaffee County,week 16,112
Chaffee County,week 17,119
Chaffee County,week 18,128
Chaffee County,week 19,133
Chaffee County,week 20,133
Chaffee County,week 21,133
Chaffee County,week 22,133
Chaffee County,week 23,133
Chaffee County,week 24,133
Chaffee County,week 25,133
Chaffee County,week 26,133
Chaffee County,week 27,133
Chaffee County,week 28,133
Chaffee County,week 29,133
Chaffee County,week 30,133
Chaffee County,week 31,133
Chaffee County,week 32,133
Chaffee County,week 33,133
Chaffee County,week 34,133
Chaffee County,week 35,19
Cheyenne County,week 1,0
Cheyenne County,week 2,0
Cheyenne County,week 3,0
Cheyenne County,week 4,0
Cheyenne County,week 5,0
Cheyenne County,week 6,0
Cheyenne County,week 7,0
Cheyenne County,week 8,0
Cheyenne County,week 9,0
Cheyenne County,week 10,0
Cheyenne County,week 11,0
Cheyenne County,week 12,0
Cheyenne County,week 13,0
Cheyenne County,week 14,0
Cheyenne County,week 15,0
Cheyenne County,week 16,0
Cheyenne County,week 17,0
Cheyenne County,week 18,0
Cheyenne County,week 19,0
Cheyenne County,week 20,0
Cheyenne County,week 21,0
Cheyenne County,week 22,0
Cheyenne County,week 23,0
Cheyenne County,week 24,0
Cheyenne County,week 25,0
Cheyenne County,week 26,0
Cheyenne County,week 27,0
Cheyenne County,week 28,0
Cheyenne County,week 29,0
Cheyenne County,week 30,0
Cheyenne County,week 31,0
Cheyenne County,week 32,0
Cheyenne County,week 33,0
Cheyenne County,week 34,0
Cheyenne County,week 35,0
Clear Creek County,week 1,0
Clear Creek County,week 2,0
Clear Creek County,week 3,0
Clear Creek County,week 4,0
Clear Creek County,week 5,0
Clear Creek County,week 6,0
Clear Creek County,week 7,0
Clear Creek County,week 8,0
Clear Creek County,week 9,0
Clear Creek County,week 10,0
Clear Creek County,week 11,0
Clear Creek County,week 12,0
Clear Creek County,week 13,1
Clear Creek County,week 14,7
Clear Creek County,week 15,7
Clear Creek County,week 16,7
Clear Creek County,week 17,7
Clear Creek County,week 18,7
Clear Creek County,week 19,7
Clear Creek County,week 20,7
Clear Creek County,week 21,7
Clear Creek County,week 22,7
Clear Creek County,week 23,7
Clear Creek County,week 24,7
Clear Creek County,week 25,7
Clear Creek County,week 26,7
Clear Creek County,week 27,7
Clear Creek County,week 28,7
Clear Creek County,week 29,7
Clear Creek County,week 30,7
Clear Creek County,week 31,7
Clear Creek County,week 32,7
Clear Creek County,week 33,7
Clear Creek County,week 34,7
Clear Creek County,week 35,1
Conejos County,week 1,0
Conejos County,week 2,0
Conejos County,week 3,0
Conejos County,week 4,0
Conejos County,week 5,0
Conejos County,week 6,0
Conejos County,week 7,0
Conejos County,week 8,0
Conejos County,week 9,0
Conejos County,week 10,0
Conejos County,week 11,0
Conejos County,week 12,0
Conejos County,week 13,0
Conejos County,week 14,0
Conejos County,week 15,0
Conejos County,week 16,0
Conejos County,week 17,0
Conejos County,week 18,0
Conejos County,week 19,0
Conejos County,week 20,0
Conejos County,week 21,0
Conejos County,week 22,0
Conejos County,week 23,0
Conejos County,week 24,0
Conejos County,week 25,0
Conejos County,week 26,0
Conejos County,week 27,0
Conejos County,week 28,0
Conejos County,week 29,0
Conejos County,week 30,0
Conejos County,week 31,0
Conejos County,week 32,0
Conejos County,week 33,0
Conejos County,week 34,0
Conejos County,week 35,0
Costilla County,week 1,0
Costilla County,week 2,0
Costilla County,week 3,0
Costilla County,week 4,0
Costilla County,week 5,0
Costilla County,week 6,0
Costilla County,week 7,0
Costilla County,week 8,0
Costilla County,week 9,0
Costilla County,week 10,0
Costilla County,week 11,0
Costilla County,week 12,0
Costilla County,week 13,0
Costilla County,week 14,0
Costilla County,week 15,0
Costilla County,week 16,0
Costilla County,week 17,0
Costilla County,week 18,0
Costilla County,week 19,0
Costilla County,week 20,0
Costilla County,week 21,0
Costilla County,week 22,0
Costilla County,week 23,0
Costilla County,week 24,0
Costilla County,week 25,0
Costilla County,week 26,0
Costilla County,week 27,0
Costilla County,week 28,0
Costilla County,week 29,0
Costilla County,week 30,0
Costilla County,week 31,0
Costilla County,week 32,2
Costilla County,week 33,7
Costilla County,week 34,7
Costilla County,week 35,1
Crowley County,week 1,0
Crowley County,week 2,0
Crowley County,week 3,0
Crowley County,week 4,0
Crowley County,week 5,0
Crowley County,week 6,0
Crowley County,week 7,0
Crowley County,week 8,0
Crowley County,week 9,5
Crowley County,week 10,7
Crowley County,week 11,7
Crowley County,week 12,7
Crowley County,week 13,7
Crowley County,week 14,7
Crowley County,week 15,7
Crowley County,week 16,7
Crowley County,week 17,7
Crowley County,week 18,7
Crowley County,week 19,7
Crowley County,week 20,7
Crowley County,week 21,7
Crowley County,week 22,7
Crowley County,week 23,7
Crowley County,week 24,7
Crowley County,week 25,7
Crowley County,week 26,7
Crowley County,week 27,7
Crowley County,week 28,7
Crowley County,week 29,7
Crowley County,week 30,7
Crowley County,week 31,7
Crowley County,week 32,7
Crowley County,week 33,7
Crowley County,week 34,7
Crowley County,week 35,1
Custer County,week 1,0
Custer County,week 2,0
Custer County,week 3,0
Custer County,week 4,0
Custer County,week 5,0
Custer County,week 6,0
Custer County,week 7,0
Custer County,week 8,0
Custer County,week 9,0
Custer County,week 10,0
Custer County,week 11,0
Custer County,week 12,0
Custer County,week 13,0
Custer County,week 14,0
Custer County,week 15,0
Custer County,week 16,0
Custer County,week 17,0
Custer County,week 18,0
Custer County,week 19,0
Custer County,week 20,0
Custer County,week 21,0
Custer County,week 22,0
Custer County,week 23,0
Custer County,week 24,0
Custer County,week 25,0
Custer County,week 26,0
Custer County,week 27,0
Custer County,week 28,0
Custer County,week 29,0
Custer County,week 30,0
Custer County,week 31,0
Custer County,week 32,0
Custer County,week 33,0
Custer County,week 34,0
Custer County,week 35,0
Delta County,week 1,0
Delta County,week 2,0
Delta County,week 3,0
Delta County,week 4,0
Delta County,week 5,0
Delta County,week 6,0
Delta County,week 7,0
Delta County,week 8,0
Delta County,week 9,0
Delta County,week 10,0
Delta County,week 11,0
Delta County,week 12,7
Delta County,week 13,7
Delta County,week 14,7
Delta County,week 15,7
Delta County,week 16,7
Delta County,week 17,7
Delta County,week 18,7
Delta County,week 19,7
Delta County,week 20,7
Delta County,week 21,7
Delta County,week 22,7
Delta County,week 23,7
Delta County,week 24,7
Delta County,week 25,7
Delta County,week 26,7
Delta County,week 27,7
Delta County,week 28,7
Delta County,week 29,7
Delta County,week 30,7
Delta County,week 31,7
Delta County,week 32,13
Delta County,week 33,14
Delta County,week 34,16
Delta County,week 35,3
Denver County,week 1,0
Denver County,week 2,0
Denver County,week 3,0
Denver County,week 4,0
Denver County,week 5,0
Denver County,week 6,0
Denver County,week 7,0
Denver County,week 8,0
Denver County,week 9,0
Denver County,week 10,32
Denver County,week 11,108
Denver County,week 12,307
Denver County,week 13,513
Denver County,week 14,866
Denver County,week 15,1151
Denver County,week 16,1433
Denver County,week 17,1801
Denver County,week 18,2083
Denver County,week 19,2278
Denver County,week 20,2383
Denver County,week 21,2521
Denver County,week 22,2566
Denver County,week 23,2617
Denver County,week 24,2672
Denver County,week 25,2744
Denver County,week 26,2786
Denver County,week 27,2828
Denver County,week 28,2874
Denver County,week 29,2899
Denver County,week 30,2933
Denver County,week 31,2952
Denver County,week 32,2987
Denver County,week 33,3003
Denver County,week 34,3008
Denver County,week 35,431
Dolores County,week 1,0
Dolores County,week 2,0
Dolores County,week 3,0
Dolores County,week 4,0
Dolores County,week 5,0
Dolores County,week 6,0
Dolores County,week 7,0
Dolores County,week 8,0
Dolores County,week 9,0
Dolores County,week 10,0
Dolores County,week 11,0
Dolores County,week 12,0
Dolores County,week 13,0
Dolores County,week 14,0
Dolores County,week 15,0
Dolores County,week 16,0
Dolores County,week 17,0
Dolores County,week 18,0
Dolores County,week 19,0
Dolores County,week 20,0
Dolores County,week 21,0
Dolores County,week 22,0
Dolores County,week 23,0
Dolores County,week 24,0
Dolores County,week 25,0
Dolores County,week 26,0
Dolores County,week 27,0
Dolores County,week 28,0
Dolores County,week 29,0
Dolores County,week 30,0
Dolores County,week 31,0
Dolores County,week 32,0
Dolores County,week 33,0
Dolores County,week 34,0
Dolores County,week 35,0
Douglas County,week 1,0
Douglas County,week 2,0
Douglas County,week 3,0
Douglas County,week 4,0
Douglas County,week 5,0
Douglas County,week 6,0
Douglas County,week 7,0
Douglas County,week 8,0
Douglas County,week 9,0
Douglas County,week 10,0
Douglas County,week 11,20
Douglas County,week 12,70
Douglas County,week 13,110
Douglas County,week 14,133
Douglas County,week 15,159
Douglas County,week 16,192
Douglas County,week 17,256
Douglas County,week 18,305
Douglas County,week 19,314
Douglas County,week 20,328
Douglas County,week 21,340
Douglas County,week 22,355
Douglas County,week 23,364
Douglas County,week 24,364
Douglas County,week 25,365
Douglas County,week 26,378
Douglas County,week 27,389
Douglas County,week 28,410
Douglas County,week 29,413
Douglas County,week 30,413
Douglas County,week 31,414
Douglas County,week 32,420
Douglas County,week 33,420
Douglas County,week 34,420
Douglas County,week 35,60
Eagle County,week 1,0
Eagle County,week 2,0
Eagle County,week 3,0
Eagle County,week 4,0
Eagle County,week 5,0
Eagle County,week 6,0
Eagle County,week 7,0
Eagle County,week 8,0
Eagle County,week 9,4
Eagle County,week 10,15
Eagle County,week 11,33
Eagle County,week 12,36
Eagle County,week 13,45
Eagle County,week 14,49
Eagle County,week 15,49
Eagle County,week 16,51
Eagle County,week 17,56
Eagle County,week 18,56
Eagle County,week 19,56
Eagle County,week 20,56
Eagle County,week 21,56
Eagle County,week 22,56
Eagle County,week 23,56
Eagle County,week 24,56
Eagle County,week 25,56
Eagle County,week 26,63
Eagle County,week 27,63
Eagle County,week 28,63
Eagle County,week 29,63
Eagle County,week 30,63
Eagle County,week 31,63
Eagle County,week 32,63
Eagle County,week 33,63
Eagle County,week 34,63
Eagle County,week 35,9
Elbert County,week 1,0
Elbert County,week 2,0
Elbert County,week 3,0
Elbert County,week 4,0
Elbert County,week 5,0
Elbert County,week 6,0
Elbert County,week 7,0
Elbert County,week 8,0
Elbert County,week 9,0
Elbert County,week 10,0
Elbert County,week 11,4
Elbert County,week 12,7
Elbert County,week 13,7
Elbert County,week 14,7
Elbert County,week 15,7
Elbert County,week 16,8
Elbert County,week 17,14
Elbert County,week 18,14
Elbert County,week 19,14
Elbert County,week 20,14
Elbert County,week 21,14
Elbert County,week 22,14
Elbert County,week 23,14
Elbert County,week 24,14
Elbert County,week 25,14
Elbert County,week 26,14
Elbert County,week 27,14
Elbert County,week 28,14
Elbert County,week 29,14
Elbert County,week 30,14
Elbert County,week 31,14
Elbert County,week 32,14
Elbert County,week 33,14
Elbert County,week 34,15
Elbert County,week 35,3
El Paso County,week 1,0
El Paso County,week 2,0
El Paso County,week 3,0
El Paso County,week 4,0
El Paso County,week 5,0
El Paso County,week 6,0
El Paso County,week 7,0
El Paso County,week 8,5
El Paso County,week 9,16
El Paso County,week 10,64
El Paso County,week 11,151
El Paso County,week 12,245
El Paso County,week 13,341
El Paso County,week 14,446
El Paso County,week 15,512
El Paso County,week 16,548
El Paso County,week 17,578
El Paso County,week 18,616
El Paso County,week 19,624
El Paso County,week 20,677
El Paso County,week 21,715
El Paso County,week 22,763
El Paso County,week 23,763
El Paso County,week 24,763
El Paso County,week 25,797
El Paso County,week 26,835
El Paso County,week 27,873
El Paso County,week 28,939
El Paso County,week 29,963
El Paso County,week 30,1001
El Paso County,week 31,1036
El Paso County,week 32,1059
El Paso County,week 33,1084
El Paso County,week 34,1112
El Paso County,week 35,164
Fremont County,week 1,0
Fremont County,week 2,0
Fremont County,week 3,0
Fremont County,week 4,0
Fremont County,week 5,0
Fremont County,week 6,0
Fremont County,week 7,0
Fremont County,week 8,0
Fremont County,week 9,0
Fremont County,week 10,0
Fremont County,week 11,0
Fremont County,week 12,0
Fremont County,week 13,0
Fremont County,week 14,0
Fremont County,week 15,0
Fremont County,week 16,0
Fremont County,week 17,0
Fremont County,week 18,0
Fremont County,week 19,0
Fremont County,week 20,0
Fremont County,week 21,0
Fremont County,week 22,0
Fremont County,week 23,0
Fremont County,week 24,0
Fremont County,week 25,0
Fremont County,week 26,0
Fremont County,week 27,0
Fremont County,week 28,0
Fremont County,week 29,0
Fremont County,week 30,0
Fremont County,week 31,0
Fremont County,week 32,0
Fremont County,week 33,0
Fremont County,week 34,7
Fremont County,week 35,1
Garfield County,week 1,0
Garfield County,week 2,0
Garfield County,week 3,0
Garfield County,week 4,0
Garfield County,week 5,0
Garfield County,week 6,0
Garfield County,week 7,0
Garfield County,week 8,0
Garfield County,week 9,0
Garfield County,week 10,2
Garfield County,week 11,7
Garfield County,week 12,13
Garfield County,week 13,14
Garfield County,week 14,14
Garfield County,week 15,14
Garfield County,week 16,14
Garfield County,week 17,14
Garfield County,week 18,14
Garfield County,week 19,14
Garfield County,week 20,14
Garfield County,week 21,14
Garfield County,week 22,14
Garfield County,week 23,14
Garfield County,week 24,16
Garfield County,week 25,21
Garfield County,week 26,28
Garfield County,week 27,28
Garfield County,week 28,28
Garfield County,week 29,28
Garfield County,week 30,28
Garfield County,week 31,28
Garfield County,week 32,28
Garfield County,week 33,28
Garfield County,week 34,33
Garfield County,week 35,5
Gilpin County,week 1,0
Gilpin County,week 2,0
Gilpin County,week 3,0
Gilpin County,week 4,0
Gilpin County,week 5,0
Gilpin County,week 6,0
Gilpin County,week 7,0
Gilpin County,week 8,0
Gilpin County,week 9,0
Gilpin County,week 10,0
Gilpin County,week 11,0
Gilpin County,week 12,0
Gilpin County,week 13,0
Gilpin County,week 14,0
Gilpin County,week 15,0
Gilpin County,week 16,0
Gilpin County,week 17,0
Gilpin County,week 18,0
Gilpin County,week 19,0
Gilpin County,week 20,0
Gilpin County,week 21,0
Gilpin County,week 22,0
Gilpin County,week 23,0
Gilpin County,week 24,0
Gilpin County,week 25,0
Gilpin County,week 26,0
Gilpin County,week 27,0
Gilpin County,week 28,0
Gilpin County,week 29,0
Gilpin County,week 30,0
Gilpin County,week 31,0
Gilpin County,week 32,0
Gilpin County,week 33,0
Gilpin County,week 34,0
Gilpin County,week 35,0
Grand County,week 1,0
Grand County,week 2,0
Grand County,week 3,0
Grand County,week 4,0
Grand County,week 5,0
Grand County,week 6,0
Grand County,week 7,0
Grand County,week 8,0
Grand County,week 9,0
Grand County,week 10,0
Grand County,week 11,0
Grand County,week 12,0
Grand County,week 13,0
Grand County,week 14,0
Grand County,week 15,0
Grand County,week 16,0
Grand County,week 17,0
Grand County,week 18,0
Grand County,week 19,0
Grand County,week 20,0
Grand County,week 21,0
Grand County,week 22,0
Grand County,week 23,2
Grand County,week 24,7
Grand County,week 25,7
Grand County,week 26,7
Grand County,week 27,7
Grand County,week 28,7
Grand County,week 29,7
Grand County,week 30,7
Grand County,week 31,7
Grand County,week 32,7
Grand County,week 33,7
Grand County,week 34,7
Grand County,week 35,1
Gunnison County,week 1,0
Gunnison County,week 2,0
Gunnison County,week 3,0
Gunnison County,week 4,0
Gunnison County,week 5,0
Gunnison County,week 6,0
Gunnison County,week 7,0
Gunnison County,week 8,0
Gunnison County,week 9,0
Gunnison County,week 10,7
Gunnison County,week 11,7
Gunnison County,week 12,15
Gunnison County,week 13,21
Gunnison County,week 14,28
Gunnison County,week 15,34
Gunnison County,week 16,42
Gunnison County,week 17,42
Gunnison County,week 18,42
Gunnison County,week 19,42
Gunnison County,week 20,42
Gunnison County,week 21,42
Gunnison County,week 22,42
Gunnison County,week 23,42
Gunnison County,week 24,42
Gunnison County,week 25,42
Gunnison County,week 26,42
Gunnison County,week 27,42
Gunnison County,week 28,42
Gunnison County,week 29,44
Gunnison County,week 30,49
Gunnison County,week 31,49
Gunnison County,week 32,49
Gunnison County,week 33,49
Gunnison County,week 34,49
Gunnison County,week 35,7
Hinsdale County,week 1,0
Hinsdale County,week 2,0
Hinsdale County,week 3,0
Hinsdale County,week 4,0
Hinsdale County,week 5,0
Hinsdale County,week 6,0
Hinsdale County,week 7,0
Hinsdale County,week 8,0
Hinsdale County,week 9,0
Hinsdale County,week 10,0
Hinsdale County,week 11,0
Hinsdale County,week 12,0
Hinsdale County,week 13,0
Hinsdale County,week 14,0
Hinsdale County,week 15,0
Hinsdale County,week 16,0
Hinsdale County,week 17,0
Hinsdale County,week 18,0
Hinsdale County,week 19,0
Hinsdale County,week 20,0
Hinsdale County,week 21,0
Hinsdale County,week 22,0
Hinsdale County,week 23,0
Hinsdale County,week 24,0
Hinsdale County,week 25,0
Hinsdale County,week 26,0
Hinsdale County,week 27,0
Hinsdale County,week 28,0
Hinsdale County,week 29,0
Hinsdale County,week 30,0
Hinsdale County,week 31,0
Hinsdale County,week 32,0
Hinsdale County,week 33,0
Hinsdale County,week 34,0
Hinsdale County,week 35,0
Huerfano County,week 1,0
Huerfano County,week 2,0
Huerfano County,week 3,0
Huerfano County,week 4,0
Huerfano County,week 5,0
Huerfano County,week 6,0
Huerfano County,week 7,0
Huerfano County,week 8,0
Huerfano County,week 9,0
Huerfano County,week 10,0
Huerfano County,week 11,0
Huerfano County,week 12,0
Huerfano County,week 13,0
Huerfano County,week 14,0
Huerfano County,week 15,0
Huerfano County,week 16,0
Huerfano County,week 17,0
Huerfano County,week 18,0
Huerfano County,week 19,0
Huerfano County,week 20,0
Huerfano County,week 21,0
Huerfano County,week 22,0
Huerfano County,week 23,0
Huerfano County,week 24,7
Huerfano County,week 25,7
Huerfano County,week 26,7
Huerfano County,week 27,7
Huerfano County,week 28,7
Huerfano County,week 29,7
Huerfano County,week 30,7
Huerfano County,week 31,7
Huerfano County,week 32,7
Huerfano County,week 33,7
Huerfano County,week 34,7
Huerfano County,week 35,1
Jackson County,week 1,0
Jackson County,week 2,0
Jackson County,week 3,0
Jackson County,week 4,0
Jackson County,week 5,0
Jackson County,week 6,0
Jackson County,week 7,0
Jackson County,week 8,0
Jackson County,week 9,0
Jackson County,week 10,0
Jackson County,week 11,0
Jackson County,week 12,0
Jackson County,week 13,0
Jackson County,week 14,0
Jackson County,week 15,0
Jackson County,week 16,0
Jackson County,week 17,0
Jackson County,week 18,0
Jackson County,week 19,0
Jackson County,week 20,0
Jackson County,week 21,0
Jackson County,week 22,0
Jackson County,week 23,0
Jackson County,week 24,0
Jackson County,week 25,0
Jackson County,week 26,0
Jackson County,week 27,0
Jackson County,week 28,0
Jackson County,week 29,0
Jackson County,week 30,0
Jackson County,week 31,0
Jackson County,week 32,0
Jackson County,week 33,0
Jackson County,week 34,0
Jackson County,week 35,0
Jefferson County,week 1,0
Jefferson County,week 2,0
Jefferson County,week 3,0
Jefferson County,week 4,0
Jefferson County,week 5,0
Jefferson County,week 6,0
Jefferson County,week 7,0
Jefferson County,week 8,0
Jefferson County,week 9,0
Jefferson County,week 10,31
Jefferson County,week 11,100
Jefferson County,week 12,187
Jefferson County,week 13,248
Jefferson County,week 14,413
Jefferson County,week 15,562
Jefferson County,week 16,649
Jefferson County,week 17,836
Jefferson County,week 18,997
Jefferson County,week 19,1175
Jefferson County,week 20,1255
Jefferson County,week 21,1368
Jefferson County,week 22,1422
Jefferson County,week 23,1456
Jefferson County,week 24,1482
Jefferson County,week 25,1506
Jefferson County,week 26,1524
Jefferson County,week 27,1547
Jefferson County,week 28,1586
Jefferson County,week 29,1599
Jefferson County,week 30,1636
Jefferson County,week 31,1642
Jefferson County,week 32,1656
Jefferson County,week 33,1684
Jefferson County,week 34,1711
Jefferson County,week 35,247
Kiowa County,week 1,0
Kiowa County,week 2,0
Kiowa County,week 3,0
Kiowa County,week 4,0
Kiowa County,week 5,0
Kiowa County,week 6,0
Kiowa County,week 7,0
Kiowa County,week 8,0
Kiowa County,week 9,0
Kiowa County,week 10,0
Kiowa County,week 11,0
Kiowa County,week 12,0
Kiowa County,week 13,0
Kiowa County,week 14,0
Kiowa County,week 15,0
Kiowa County,week 16,0
Kiowa County,week 17,0
Kiowa County,week 18,0
Kiowa County,week 19,0
Kiowa County,week 20,0
Kiowa County,week 21,0
Kiowa County,week 22,0
Kiowa County,week 23,0
Kiowa County,week 24,0
Kiowa County,week 25,0
Kiowa County,week 26,0
Kiowa County,week 27,0
Kiowa County,week 28,0
Kiowa County,week 29,0
Kiowa County,week 30,0
Kiowa County,week 31,0
Kiowa County,week 32,0
Kiowa County,week 33,0
Kiowa County,week 34,0
Kiowa County,week 35,0
Kit Carson County,week 1,0
Kit Carson County,week 2,0
Kit Carson County,week 3,0
Kit Carson County,week 4,0
Kit Carson County,week 5,0
Kit Carson County,week 6,0
Kit Carson County,week 7,0
Kit Carson County,week 8,0
