,,cases
Colusa County,week 32,3097
Colusa County,week 33,3291
Colusa County,week 34,3434
Colusa County,week 35,499
Contra Costa County,week 1,0
Contra Costa County,week 2,0
Contra Costa County,week 3,0
Contra Costa County,week 4,0
Contra Costa County,week 5,0
Contra Costa County,week 6,0
Contra Costa County,week 7,36
Contra Costa County,week 8,176
Contra Costa County,week 9,398
Contra Costa County,week 10,1142
Contra Costa County,week 11,2431
Contra Costa County,week 12,3678
Contra Costa County,week 13,4728
Contra Costa County,week 14,5603
Contra Costa County,week 15,6455
Contra Costa County,week 16,7196
Contra Costa County,week 17,7883
Contra Costa County,week 18,9008
Contra Costa County,week 19,10013
Contra Costa County,week 20,11418
Contra Costa County,week 21,13393
Contra Costa County,week 22,15687
Contra Costa County,week 23,19368
Contra Costa County,week 24,25202
Contra Costa County,week 25,32199
Contra Costa County,week 26,38557
Contra Costa County,week 27,47334
Contra Costa County,week 28,54805
Contra Costa County,week 29,63011
Contra Costa County,week 30,76658
Contra Costa County,week 31,87270
Contra Costa County,week 32,95694
Contra Costa County,week 33,101324
Contra Costa County,week 34,106376
Contra Costa County,week 35,15544
Del Norte County,week 1,0
Del Norte County,week 2,0
Del Norte County,week 3,0
Del Norte County,week 4,0
Del Norte County,week 5,0
Del Norte County,week 6,0
Del Norte County,week 7,0
Del Norte County,week 8,0
Del Norte County,week 9,0
Del Norte County,week 10,0
Del Norte County,week 11,10
Del Norte County,week 12,14
Del Norte County,week 13,14
Del Norte County,week 14,17
Del Norte County,week 15,21
Del Norte County,week 16,21
Del Norte County,week 17,50
Del Norte County,week 18,181
Del Norte County,week 19,314
Del Norte County,week 20,329
Del Norte County,week 21,330
Del Norte County,week 22,337
Del Norte County,week 23,348
Del Norte County,week 24,389
Del Norte County,week 25,418
Del Norte County,week 26,451
Del Norte County,week 27,600
Del Norte County,week 28,620
Del Norte County,week 29,681
Del Norte County,week 30,743
Del Norte County,week 31,811
Del Norte County,week 32,855
Del Norte County,week 33,868
Del Norte County,week 34,909
Del Norte County,week 35,133
El Dorado County,week 1,0
El Dorado County,week 2,0
El Dorado County,week 3,0
El Dorado County,week 4,0
El Dorado County,week 5,0
El Dorado County,week 6,0
El Dorado County,week 7,0
El Dorado County,week 8,0
El Dorado County,week 9,9
El Dorado County,week 10,81
El Dorado County,week 11,156
El Dorado County,week 12,224
El Dorado County,week 13,255
El Dorado County,week 14,292
El Dorado County,week 15,335
El Dorado County,week 16,386
El Dorado County,week 17,448
El Dorado County,week 18,514
El Dorado County,week 19,621
El Dorado County,week 20,738
El Dorado County,week 21,796
El Dorado County,week 22,931
El Dorado County,week 23,1147
El Dorado County,week 24,1608
El Dorado County,week 25,2164
El Dorado County,week 26,2820
El Dorado County,week 27,3667
El Dorado County,week 28,4418
El Dorado County,week 29,5145
El Dorado County,week 30,5787
El Dorado County,week 31,6306
El Dorado County,week 32,6670
El Dorado County,week 33,6987
El Dorado County,week 34,7237
El Dorado County,week 35,1051
Fresno County,week 1,0
Fresno County,week 2,0
Fresno County,week 3,0
Fresno County,week 4,0
Fresno County,week 5,0
Fresno County,week 6,0
Fresno County,week 7,3
Fresno County,week 8,11
Fresno County,week 9,55
Fresno County,week 10,284
Fresno County,week 11,757
Fresno County,week 12,1366
Fresno County,week 13,2223
Fresno County,week 14,3181
Fresno County,week 15,4379
Fresno County,week 16,6130
Fresno County,week 17,8178
Fresno County,week 18,10074
Fresno County,week 19,12274
Fresno County,week 20,14690
Fresno County,week 21,17779
Fresno County,week 22,22792
Fresno County,week 23,31090
Fresno County,week 24,42509
Fresno County,week 25,56059
Fresno County,week 26,69147
Fresno County,week 27,86989
Fresno County,week 28,104554
Fresno County,week 29,120332
Fresno County,week 30,138317
Fresno County,week 31,159212
Fresno County,week 32,171446
Fresno County,week 33,182541
Fresno County,week 34,188409
Fresno County,week 35,27312
Glenn County,week 1,0
Glenn County,week 2,0
Glenn County,week 3,0
Glenn County,week 4,0
Glenn County,week 5,0
Glenn County,week 6,0
Glenn County,week 7,0
Glenn County,week 8,0
Glenn County,week 9,0
Glenn County,week 10,7
Glenn County,week 11,14
Glenn County,week 12,21
Glenn County,week 13,28
Glenn County,week 14,34
Glenn County,week 15,35
Glenn County,week 16,41
Glenn County,week 17,67
Glenn County,week 18,85
Glenn County,week 19,107
Glenn County,week 20,128
Glenn County,week 21,185
Glenn County,week 22,314
Glenn County,week 23,637
Glenn County,week 24,1930
Glenn County,week 25,1163
Glenn County,week 26,1488
Glenn County,week 27,1888
Glenn County,week 28,2279
Glenn County,week 29,2486
Glenn County,week 30,2862
Glenn County,week 31,2988
Glenn County,week 32,3105
Glenn County,week 33,3334
Glenn County,week 34,3665
Glenn County,week 35,539
Humboldt County,week 1,0
Humboldt County,week 2,0
Humboldt County,week 3,0
Humboldt County,week 4,0
Humboldt County,week 5,5
Humboldt County,week 6,7
Humboldt County,week 7,7
Humboldt County,week 8,7
Humboldt County,week 9,11
Humboldt County,week 10,115
Humboldt County,week 11,292
Humboldt County,week 12,351
Humboldt County,week 13,364
Humboldt County,week 14,369
Humboldt County,week 15,378
Humboldt County,week 16,404
Humboldt County,week 17,523
Humboldt County,week 18,641
Humboldt County,week 19,701
Humboldt County,week 20,730
Humboldt County,week 21,741
Humboldt County,week 22,771
Humboldt County,week 23,902
Humboldt County,week 24,1009
Humboldt County,week 25,1145
Humboldt County,week 26,1280
Humboldt County,week 27,1456
Humboldt County,week 28,1630
Humboldt County,week 29,1950
Humboldt County,week 30,2173
Humboldt County,week 31,2429
Humboldt County,week 32,2610
Humboldt County,week 33,2845
Humboldt County,week 34,3179
Humboldt County,week 35,479
Imperial County,week 1,0
Imperial County,week 2,0
Imperial County,week 3,0
Imperial County,week 4,0
Imperial County,week 5,0
Imperial County,week 6,0
Imperial County,week 7,0
Imperial County,week 8,2
Imperial County,week 9,37
Imperial County,week 10,163
Imperial County,week 11,409
Imperial County,week 12,624
Imperial County,week 13,1073
Imperial County,week 14,1787
Imperial County,week 15,2505
Imperial County,week 16,3577
Imperial County,week 17,5495
Imperial County,week 18,8031
Imperial County,week 19,11350
Imperial County,week 20,18368
Imperial County,week 21,27516
Imperial County,week 22,33551
Imperial County,week 23,41642
Imperial County,week 24,48937
Imperial County,week 25,54627
Imperial County,week 26,59126
Imperial County,week 27,63170
Imperial County,week 28,65684
Imperial County,week 29,67667
Imperial County,week 30,70440
Imperial County,week 31,72663
Imperial County,week 32,74479
Imperial County,week 33,76699
Imperial County,week 34,78725
Imperial County,week 35,11435
Inyo County,week 1,0
Inyo County,week 2,0
Inyo County,week 3,0
Inyo County,week 4,0
Inyo County,week 5,0
Inyo County,week 6,0
Inyo County,week 7,0
Inyo County,week 8,0
Inyo County,week 9,0
Inyo County,week 10,37
Inyo County,week 11,72
Inyo County,week 12,82
Inyo County,week 13,124
Inyo County,week 14,133
Inyo County,week 15,133
Inyo County,week 16,133
Inyo County,week 17,133
Inyo County,week 18,133
Inyo County,week 19,137
Inyo County,week 20,144
Inyo County,week 21,160
Inyo County,week 22,174
Inyo County,week 23,197
Inyo County,week 24,223
Inyo County,week 25,244
Inyo County,week 26,265
Inyo County,week 27,286
Inyo County,week 28,378
Inyo County,week 29,490
Inyo County,week 30,827
Inyo County,week 31,1134
Inyo County,week 32,1219
Inyo County,week 33,1279
Inyo County,week 34,1299
Inyo County,week 35,187
Kern County,week 1,0
Kern County,week 2,0
Kern County,week 3,0
Kern County,week 4,0
Kern County,week 5,0
Kern County,week 6,0
Kern County,week 7,0
Kern County,week 8,0
Kern County,week 9,45
Kern County,week 10,363
Kern County,week 11,1412
Kern County,week 12,2723
Kern County,week 13,4243
Kern County,week 14,5356
Kern County,week 15,6733
Kern County,week 16,8396
Kern County,week 17,10260
Kern County,week 18,12272
Kern County,week 19,15117
Kern County,week 20,18448
Kern County,week 21,22383
Kern County,week 22,26505
Kern County,week 23,30473
Kern County,week 24,35979
Kern County,week 25,44035
Kern County,week 26,56705
Kern County,week 27,97523
Kern County,week 28,137396
Kern County,week 29,160810
Kern County,week 30,183158
Kern County,week 31,195029
Kern County,week 32,203545
Kern County,week 33,209724
Kern County,week 34,214497
Kern County,week 35,31076
Kings County,week 1,0
Kings County,week 2,0
Kings County,week 3,0
Kings County,week 4,0
Kings County,week 5,0
Kings County,week 6,0
Kings County,week 7,0
Kings County,week 8,0
Kings County,week 9,0
Kings County,week 10,9
Kings County,week 11,35
Kings County,week 12,68
Kings County,week 13,171
Kings County,week 14,351
Kings County,week 15,1019
Kings County,week 16,1948
Kings County,week 17,2677
Kings County,week 18,3918
Kings County,week 19,6312
Kings County,week 20,10260
Kings County,week 21,12362
Kings County,week 22,14478
Kings County,week 23,16240
Kings County,week 24,18340
Kings County,week 25,20351
Kings County,week 26,22804
Kings County,week 27,26531
Kings County,week 28,30298
Kings County,week 29,31171
Kings County,week 30,37550
Kings County,week 31,40495
Kings County,week 32,43040
Kings County,week 33,46689
Kings County,week 34,49191
Kings County,week 35,7125
Lake County,week 1,0
Lake County,week 2,0
Lake County,week 3,0
Lake County,week 4,0
Lake County,week 5,0
Lake County,week 6,0
Lake County,week 7,0
Lake County,week 8,0
Lake County,week 9,0
Lake County,week 10,0
Lake County,week 11,4
Lake County,week 12,27
Lake County,week 13,41
Lake County,week 14,42
Lake County,week 15,49
Lake County,week 16,56
Lake County,week 17,61
Lake County,week 18,86
Lake County,week 19,159
Lake County,week 20,210
Lake County,week 21,225
Lake County,week 22,253
Lake County,week 23,337
Lake County,week 24,618
Lake County,week 25,768
Lake County,week 26,997
Lake County,week 27,1183
Lake County,week 28,1368
Lake County,week 29,1577
Lake County,week 30,1878
Lake County,week 31,2040
Lake County,week 32,2308
Lake County,week 33,2516
Lake County,week 34,2754
Lake County,week 35,418
Lassen County,week 1,0
Lassen County,week 2,0
Lassen County,week 3,0
Lassen County,week 4,0
Lassen County,week 5,0
Lassen County,week 6,0
Lassen County,week 7,0
Lassen County,week 8,0
Lassen County,week 9,0
Lassen County,week 10,0
Lassen County,week 11,0
Lassen County,week 12,0
Lassen County,week 13,0
Lassen County,week 14,0
Lassen County,week 15,0
Lassen County,week 16,0
Lassen County,week 17,0
Lassen County,week 18,14
Lassen County,week 19,35
Lassen County,week 20,41
Lassen County,week 21,60
Lassen County,week 22,69
Lassen County,week 23,83
Lassen County,week 24,125
Lassen County,week 25,241
Lassen County,week 26,273
Lassen County,week 27,370
Lassen County,week 28,449
Lassen County,week 29,988
Lassen County,week 30,4291
Lassen County,week 31,4926
Lassen County,week 32,5005
Lassen County,week 33,5030
Lassen County,week 34,5091
Lassen County,week 35,729
Los Angeles County,week 1,3
Los Angeles County,week 2,7
Los Angeles County,week 3,7
Los Angeles County,week 4,7
Los Angeles County,week 5,7
Los Angeles County,week 6,7
Los Angeles County,week 7,99
Los Angeles County,week 8,458
Los Angeles County,week 9,2671
Los Angeles County,week 10,12905
Los Angeles County,week 11,36616
Los Angeles County,week 12,61447
Los Angeles County,week 13,86059
Los Angeles County,week 14,132488
Los Angeles County,week 15,174470
Los Angeles County,week 16,216679
Los Angeles County,week 17,259317
Los Angeles County,week 18,308829
Los Angeles County,week 19,371769
Los Angeles County,week 20,435577
Los Angeles County,week 21,500331
Los Angeles County,week 22,574262
Los Angeles County,week 23,671755
Los Angeles County,week 24,773284
Los Angeles County,week 25,915327
Los Angeles County,week 26,1070442
Los Angeles County,week 27,1201465
Los Angeles County,week 28,1329998
Los Angeles County,week 29,1438810
Los Angeles County,week 30,1538903
Los Angeles County,week 31,1611254
Los Angeles County,week 32,1675624
Los Angeles County,week 33,1729279
Los Angeles County,week 34,1768650
Los Angeles County,week 35,256148
Madera County,week 1,0
Madera County,week 2,0
Madera County,week 3,0
Madera County,week 4,0
Madera County,week 5,0
Madera County,week 6,0
Madera County,week 7,4
Madera County,week 8,7
Madera County,week 9,20
Madera County,week 10,105
Madera County,week 11,201
Madera County,week 12,223
Madera County,week 13,239
Madera County,week 14,284
Madera County,week 15,348
Madera County,week 16,453
Madera County,week 17,508
Madera County,week 18,589
Madera County,week 19,737
Madera County,week 20,1097
Madera County,week 21,1433
Madera County,week 22,2205
Madera County,week 23,3005
Madera County,week 24,4203
Madera County,week 25,6289
Madera County,week 26,8617
Madera County,week 27,11583
Madera County,week 28,13754
Madera County,week 29,16213
Madera County,week 30,20709
Madera County,week 31,23524
Madera County,week 32,25743
Madera County,week 33,27602
Madera County,week 34,29049
Madera County,week 35,4230
Marin County,week 1,0
Marin County,week 2,0
Marin County,week 3,0
Marin County,week 4,0
Marin County,week 5,0
Marin County,week 6,0
Marin County,week 7,0
Marin County,week 8,28
Marin County,week 9,254
Marin County,week 10,565
Marin County,week 11,926
Marin County,week 12,1113
Marin County,week 13,1328
Marin County,week 14,1518
Marin County,week 15,1672
Marin County,week 16,1809
Marin County,week 17,2122
Marin County,week 18,2683
Marin County,week 19,3258
Marin County,week 20,3985
Marin County,week 21,4867
Marin County,week 22,6184
Marin County,week 23,7874
Marin County,week 24,17415
Marin County,week 25,21178
Marin County,week 26,22443
Marin County,week 27,23256
Marin County,week 28,33514
Marin County,week 29,37153
Marin County,week 30,39981
Marin County,week 31,41228
Marin County,week 32,42407
Marin County,week 33,43994
Marin County,week 34,44991
Marin County,week 35,6476
Mariposa County,week 1,0
Mariposa County,week 2,0
Mariposa County,week 3,0
Mariposa County,week 4,0
Mariposa County,week 5,0
Mariposa County,week 6,0
Mariposa County,week 7,0
Mariposa County,week 8,0
Mariposa County,week 9,0
Mariposa County,week 10,0
Mariposa County,week 11,0
Mariposa County,week 12,0
Mariposa County,week 13,0
Mariposa County,week 14,1
Mariposa County,week 15,71
Mariposa County,week 16,105
Mariposa County,week 17,105
Mariposa County,week 18,106
Mariposa County,week 19,112
Mariposa County,week 20,112
Mariposa County,week 21,114
Mariposa County,week 22,129
Mariposa County,week 23,163
Mariposa County,week 24,197
Mariposa County,week 25,222
Mariposa County,week 26,257
Mariposa County,week 27,322
Mariposa County,week 28,388
Mariposa County,week 29,423
Mariposa County,week 30,427
Mariposa County,week 31,427
Mariposa County,week 32,439
Mariposa County,week 33,517
Mariposa County,week 34,522
Mariposa County,week 35,75
Mendocino County,week 1,0
Mendocino County,week 2,0
Mendocino County,week 3,0
Mendocino County,week 4,0
Mendocino County,week 5,0
Mendocino County,week 6,0
Mendocino County,week 7,0
Mendocino County,week 8,0
Mendocino County,week 9,8
Mendocino County,week 10,21
Mendocino County,week 11,28
Mendocino County,week 12,28
Mendocino County,week 13,29
Mendocino County,week 14,65
Mendocino County,week 15,84
Mendocino County,week 16,84
Mendocino County,week 17,94
Mendocino County,week 18,137
Mendocino County,week 19,205
Mendocino County,week 20,237
Mendocino County,week 21,278
Mendocino County,week 22,397
Mendocino County,week 23,528
Mendocino County,week 24,609
Mendocino County,week 25,854
Mendocino County,week 26,1336
Mendocino County,week 27,1771
Mendocino County,week 28,2215
Mendocino County,week 29,2908
Mendocino County,week 30,3729
Mendocino County,week 31,4311
Mendocino County,week 32,4751
Mendocino County,week 33,5223
Mendocino County,week 34,5514
Mendocino County,week 35,808
Merced County,week 1,0
Merced County,week 2,0
Merced County,week 3,0
Merced County,week 4,0
Merced County,week 5,0
Merced County,week 6,0
Merced County,week 7,0
Merced County,week 8,0
Merced County,week 9,3
Merced County,week 10,48
Merced County,week 11,150
Merced County,week 12,411
Merced County,week 13,601
Merced County,week 14,729
Merced County,week 15,951
Merced County,week 16,1146
Merced County,week 17,1411
Merced County,week 18,1733
Merced County,week 19,2016
Merced County,week 20,2371
Merced County,week 21,2884
Merced County,week 22,4119
Merced County,week 23,5892
Merced County,week 24,9308
Merced County,week 25,13412
Merced County,week 26,17289
Merced County,week 27,23125
Merced County,week 28,29831
Merced County,week 29,36489
Merced County,week 30,47328
Merced County,week 31,52190
Merced County,week 32,55341
Merced County,week 33,57847
Merced County,week 34,59811
Merced County,week 35,8645
Modoc County,week 1,0
Modoc County,week 2,0
Modoc County,week 3,0
Modoc County,week 4,0
Modoc County,week 5,0
Modoc County,week 6,0
Modoc County,week 7,0
Modoc County,week 8,0
Modoc County,week 9,0
Modoc County,week 10,0
Modoc County,week 11,0
Modoc County,week 12,0
Modoc County,week 13,0
Modoc County,week 14,0
Modoc County,week 15,0
Modoc County,week 16,0
Modoc County,week 17,0
Modoc County,week 18,0
Modoc County,week 19,0
Modoc County,week 20,0
Modoc County,week 21,0
Modoc County,week 22,0
Modoc County,week 23,0
Modoc County,week 24,0
Modoc County,week 25,0
Modoc County,week 26,0
Modoc County,week 27,0
Modoc County,week 28,4
Modoc County,week 29,33
Modoc County,week 30,35
Modoc County,week 31,35
Modoc County,week 32,49
Modoc County,week 33,84
Modoc County,week 34,84
Modoc County,week 35,12
Mono County,week 1,0
Mono County,week 2,0
Mono County,week 3,0
Mono County,week 4,0
Mono County,week 5,0
Mono County,week 6,0
Mono County,week 7,0
Mono County,week 8,0
Mono County,week 9,6
Mono County,week 10,68
Mono County,week 11,131
Mono County,week 12,151
Mono County,week 13,163
Mono County,week 14,172
Mono County,week 15,182
Mono County,week 16,206
Mono County,week 17,234
Mono County,week 18,239
Mono County,week 19,251
Mono County,week 20,259
Mono County,week 21,259
Mono County,week 22,265
Mono County,week 23,282
Mono County,week 24,308
Mono County,week 25,351
Mono County,week 26,503
Mono County,week 27,766
Mono County,week 28,982
Mono County,week 29,1077
Mono County,week 30,1122
Mono County,week 31,1134
Mono County,week 32,1134
Mono County,week 33,1134
Mono County,week 34,1139
Mono County,week 35,163
Monterey County,week 1,0
Monterey County,week 2,0
Monterey County,week 3,0
Monterey County,week 4,0
Monterey County,week 5,0
Monterey County,week 6,0
Monterey County,week 7,0
Monterey County,week 8,0
Monterey County,week 9,63
Monterey County,week 10,215
Monterey County,week 11,403
Monterey County,week 12,575
Monterey County,week 13,913
Monterey County,week 14,1218
Monterey County,week 15,1832
Monterey County,week 16,2357
Monterey County,week 17,2773
Monterey County,week 18,3370
Monterey County,week 19,4344
Monterey County,week 20,5207
Monterey County,week 21,6328
Monterey County,week 22,8296
Monterey County,week 23,10466
Monterey County,week 24,13389
Monterey County,week 25,17495
Monterey County,week 26,21727
Monterey County,week 27,27088
Monterey County,week 28,32113
Monterey County,week 29,36577
Monterey County,week 30,42311
Monterey County,week 31,50115
Monterey County,week 32,53878
Monterey County,week 33,58023
Monterey County,week 34,61709
Monterey County,week 35,9089
Napa County,week 1,0
Napa County,week 2,0
Napa County,week 3,0
Napa County,week 4,0
Napa County,week 5,0
Napa County,week 6,0
Napa County,week 7,0
Napa County,week 8,0
Napa County,week 9,7
Napa County,week 10,44
Napa County,week 11,141
Napa County,week 12,225
Napa County,week 13,317
Napa County,week 14,422
Napa County,week 15,491
Napa County,week 16,552
Napa County,week 17,611
Napa County,week 18,697
Napa County,week 19,781
Napa County,week 20,971
Napa County,week 21,1247
Napa County,week 22,1556
Napa County,week 23,1946
Napa County,week 24,2689
Napa County,week 25,3398
Napa County,week 26,4181
Napa County,week 27,5179
Napa County,week 28,6332
Napa County,week 29,7373
Napa County,week 30,8439
Napa County,week 31,9210
Napa County,week 32,9836
Napa County,week 33,10280
Napa County,week 34,10825
Napa County,week 35,1575
Nevada County,week 1,0
Nevada County,week 2,0
Nevada County,week 3,0
Nevada County,week 4,0
Nevada County,week 5,0
Nevada County,week 6,0
Nevada County,week 7,0
Nevada County,week 8,2
Nevada County,week 9,12
Nevada County,week 10,72
Nevada County,week 11,210
Nevada County,week 12,238
Nevada County,week 13,248
Nevada County,week 14,263
Nevada County,week 15,287
Nevada County,week 16,287
Nevada County,week 17,287
Nevada County,week 18,287
Nevada County,week 19,295
Nevada County,week 20,348
Nevada County,week 21,370
Nevada County,week 22,536
Nevada County,week 23,740
Nevada County,week 24,907
Nevada County,week 25,1166
Nevada County,week 26,1453
Nevada County,week 27,1816
Nevada County,week 28,2106
Nevada County,week 29,2314
Nevada County,week 30,2610
Nevada County,week 31,2852
Nevada County,week 32,3051
Nevada County,week 33,3187
Nevada County,week 34,3390
Nevada County,week 35,496
Orange County,week 1,3
Orange County,week 2,7
Orange County,week 3,7
Orange County,week 4,7
Orange County,week 5,7
Orange County,week 6,7
Orange County,week 7,25
Orange County,week 8,107
Orange County,week 9,610
Orange County,week 10,2564
Orange County,week 11,5406
Orange County,week 12,8313
Orange County,week 13,10861
Orange County,week 14,13745
Orange County,week 15,18253
Orange County,week 16,23377
Orange County,week 17,29374
Orange County,week 18,36064
Orange County,week 19,42722
Orange County,week 20,50427
Orange County,week 21,58477
Orange County,week 22,69807
Orange County,week 23,86464
Orange County,week 24,115075
Orange County,week 25,164383
Orange County,week 26,202643
Orange County,week 27,235554
Orange County,week 28,257349
Orange County,week 29,276418
Orange County,week 30,302061
Orange County,week 31,319455
Orange County,week 32,336328
Orange County,week 33,346230
Orange County,week 34,355062
Orange County,week 35,51259
Placer County,week 1,0
Placer County,week 2,0
Placer County,week 3,0
Placer County,week 4,0
Placer County,week 5,0
Placer County,week 6,2
Placer County,week 7,33
Placer County,week 8,53
Placer County,week 9,97
Placer County,week 10,322
Placer County,week 11,690
Placer County,week 12,863
Placer County,week 13,917
Placer County,week 14,976
Placer County,week 15,1084
Placer County,week 16,1170
Placer County,week 17,1216
Placer County,week 18,1277
Placer County,week 19,1463
Placer County,week 20,1921
Placer County,week 21,2516
Placer County,week 22,3413
Placer County,week 23,4293
Placer County,week 24,5818
Placer County,week 25,7381
Placer County,week 26,9093
Placer County,week 27,11260
