,,cases
Cannon County,week 14,72
Cannon County,week 15,83
Cannon County,week 16,90
Cannon County,week 17,91
Cannon County,week 18,110
Cannon County,week 19,141
Cannon County,week 20,161
Cannon County,week 21,161
Cannon County,week 22,161
Cannon County,week 23,174
Cannon County,week 24,248
Cannon County,week 25,349
Cannon County,week 26,481
Cannon County,week 27,630
Cannon County,week 28,798
Cannon County,week 29,1004
Cannon County,week 30,1132
Cannon County,week 31,1262
Cannon County,week 32,1367
Cannon County,week 33,1557
Cannon County,week 34,1688
Cannon County,week 35,254
Carroll County,week 1,0
Carroll County,week 2,0
Carroll County,week 3,0
Carroll County,week 4,0
Carroll County,week 5,0
Carroll County,week 6,0
Carroll County,week 7,0
Carroll County,week 8,0
Carroll County,week 9,9
Carroll County,week 10,29
Carroll County,week 11,45
Carroll County,week 12,73
Carroll County,week 13,94
Carroll County,week 14,108
Carroll County,week 15,126
Carroll County,week 16,134
Carroll County,week 17,169
Carroll County,week 18,186
Carroll County,week 19,191
Carroll County,week 20,196
Carroll County,week 21,235
Carroll County,week 22,252
Carroll County,week 23,262
Carroll County,week 24,314
Carroll County,week 25,371
Carroll County,week 26,518
Carroll County,week 27,845
Carroll County,week 28,1440
Carroll County,week 29,2078
Carroll County,week 30,2662
Carroll County,week 31,3369
Carroll County,week 32,4207
Carroll County,week 33,4729
Carroll County,week 34,5146
Carroll County,week 35,781
Carter County,week 1,0
Carter County,week 2,0
Carter County,week 3,0
Carter County,week 4,0
Carter County,week 5,0
Carter County,week 6,0
Carter County,week 7,0
Carter County,week 8,0
Carter County,week 9,0
Carter County,week 10,4
Carter County,week 11,17
Carter County,week 12,21
Carter County,week 13,34
Carter County,week 14,64
Carter County,week 15,95
Carter County,week 16,124
Carter County,week 17,132
Carter County,week 18,133
Carter County,week 19,133
Carter County,week 20,133
Carter County,week 21,140
Carter County,week 22,192
Carter County,week 23,328
Carter County,week 24,419
Carter County,week 25,675
Carter County,week 26,1182
Carter County,week 27,1956
Carter County,week 28,2768
Carter County,week 29,3512
Carter County,week 30,4292
Carter County,week 31,4978
Carter County,week 32,5669
Carter County,week 33,6745
Carter County,week 34,7311
Carter County,week 35,1080
Cheatham County,week 1,0
Cheatham County,week 2,0
Cheatham County,week 3,0
Cheatham County,week 4,0
Cheatham County,week 5,0
Cheatham County,week 6,0
Cheatham County,week 7,0
Cheatham County,week 8,0
Cheatham County,week 9,19
Cheatham County,week 10,54
Cheatham County,week 11,84
Cheatham County,week 12,117
Cheatham County,week 13,148
Cheatham County,week 14,239
Cheatham County,week 15,350
Cheatham County,week 16,441
Cheatham County,week 17,612
Cheatham County,week 18,720
Cheatham County,week 19,857
Cheatham County,week 20,984
Cheatham County,week 21,1071
Cheatham County,week 22,1155
Cheatham County,week 23,1339
Cheatham County,week 24,1582
Cheatham County,week 25,1891
Cheatham County,week 26,2451
Cheatham County,week 27,2967
Cheatham County,week 28,3649
Cheatham County,week 29,4069
Cheatham County,week 30,4425
Cheatham County,week 31,4782
Cheatham County,week 32,4944
Cheatham County,week 33,5058
Cheatham County,week 34,5242
Cheatham County,week 35,775
Chester County,week 1,0
Chester County,week 2,0
Chester County,week 3,0
Chester County,week 4,0
Chester County,week 5,0
Chester County,week 6,0
Chester County,week 7,0
Chester County,week 8,0
Chester County,week 9,3
Chester County,week 10,15
Chester County,week 11,31
Chester County,week 12,35
Chester County,week 13,49
Chester County,week 14,69
Chester County,week 15,70
Chester County,week 16,80
Chester County,week 17,84
Chester County,week 18,84
Chester County,week 19,84
Chester County,week 20,84
Chester County,week 21,84
Chester County,week 22,100
Chester County,week 23,130
Chester County,week 24,219
Chester County,week 25,456
Chester County,week 26,767
Chester County,week 27,993
Chester County,week 28,1292
Chester County,week 29,1504
Chester County,week 30,1831
Chester County,week 31,2257
Chester County,week 32,2591
Chester County,week 33,3106
Chester County,week 34,3512
Chester County,week 35,544
Claiborne County,week 1,0
Claiborne County,week 2,0
Claiborne County,week 3,0
Claiborne County,week 4,0
Claiborne County,week 5,0
Claiborne County,week 6,0
Claiborne County,week 7,0
Claiborne County,week 8,0
Claiborne County,week 9,2
Claiborne County,week 10,13
Claiborne County,week 11,14
Claiborne County,week 12,23
Claiborne County,week 13,35
Claiborne County,week 14,35
Claiborne County,week 15,36
Claiborne County,week 16,48
Claiborne County,week 17,51
Claiborne County,week 18,56
Claiborne County,week 19,67
Claiborne County,week 20,90
Claiborne County,week 21,105
Claiborne County,week 22,113
Claiborne County,week 23,147
Claiborne County,week 24,291
Claiborne County,week 25,480
Claiborne County,week 26,746
Claiborne County,week 27,1046
Claiborne County,week 28,1457
Claiborne County,week 29,1823
Claiborne County,week 30,2117
Claiborne County,week 31,2357
Claiborne County,week 32,2493
Claiborne County,week 33,2618
Claiborne County,week 34,2778
Claiborne County,week 35,411
Clay County,week 1,0
Clay County,week 2,0
Clay County,week 3,0
Clay County,week 4,0
Clay County,week 5,0
Clay County,week 6,0
Clay County,week 7,0
Clay County,week 8,0
Clay County,week 9,0
Clay County,week 10,0
Clay County,week 11,7
Clay County,week 12,18
Clay County,week 13,35
Clay County,week 14,35
Clay County,week 15,35
Clay County,week 16,42
Clay County,week 17,42
Clay County,week 18,42
Clay County,week 19,48
Clay County,week 20,58
Clay County,week 21,70
Clay County,week 22,82
Clay County,week 23,93
Clay County,week 24,117
Clay County,week 25,144
Clay County,week 26,226
Clay County,week 27,297
Clay County,week 28,410
Clay County,week 29,519
Clay County,week 30,612
Clay County,week 31,692
Clay County,week 32,767
Clay County,week 33,898
Clay County,week 34,980
Clay County,week 35,161
Cocke County,week 1,0
Cocke County,week 2,0
Cocke County,week 3,0
Cocke County,week 4,0
Cocke County,week 5,0
Cocke County,week 6,0
Cocke County,week 7,0
Cocke County,week 8,0
Cocke County,week 9,4
Cocke County,week 10,7
Cocke County,week 11,8
Cocke County,week 12,27
Cocke County,week 13,74
Cocke County,week 14,99
Cocke County,week 15,112
Cocke County,week 16,121
Cocke County,week 17,139
Cocke County,week 18,140
Cocke County,week 19,141
Cocke County,week 20,148
Cocke County,week 21,176
Cocke County,week 22,201
Cocke County,week 23,315
Cocke County,week 24,620
Cocke County,week 25,944
Cocke County,week 26,1411
Cocke County,week 27,1928
Cocke County,week 28,2647
Cocke County,week 29,3202
Cocke County,week 30,3723
Cocke County,week 31,4158
Cocke County,week 32,4437
Cocke County,week 33,4637
Cocke County,week 34,4916
Cocke County,week 35,719
Coffee County,week 1,0
Coffee County,week 2,0
Coffee County,week 3,0
Coffee County,week 4,0
Coffee County,week 5,0
Coffee County,week 6,0
Coffee County,week 7,0
Coffee County,week 8,0
Coffee County,week 9,0
Coffee County,week 10,3
Coffee County,week 11,30
Coffee County,week 12,72
Coffee County,week 13,128
Coffee County,week 14,204
Coffee County,week 15,275
Coffee County,week 16,353
Coffee County,week 17,416
Coffee County,week 18,451
Coffee County,week 19,496
Coffee County,week 20,561
Coffee County,week 21,645
Coffee County,week 22,689
Coffee County,week 23,726
Coffee County,week 24,822
Coffee County,week 25,994
Coffee County,week 26,1297
Coffee County,week 27,1867
Coffee County,week 28,2700
Coffee County,week 29,3610
Coffee County,week 30,4201
Coffee County,week 31,4741
Coffee County,week 32,5272
Coffee County,week 33,5664
Coffee County,week 34,6391
Coffee County,week 35,1004
Crockett County,week 1,0
Crockett County,week 2,0
Crockett County,week 3,0
Crockett County,week 4,0
Crockett County,week 5,0
Crockett County,week 6,0
Crockett County,week 7,0
Crockett County,week 8,0
Crockett County,week 9,0
Crockett County,week 10,0
Crockett County,week 11,0
Crockett County,week 12,0
Crockett County,week 13,20
Crockett County,week 14,43
Crockett County,week 15,49
Crockett County,week 16,63
Crockett County,week 17,91
Crockett County,week 18,103
Crockett County,week 19,112
Crockett County,week 20,112
Crockett County,week 21,123
Crockett County,week 22,166
Crockett County,week 23,199
Crockett County,week 24,250
Crockett County,week 25,383
Crockett County,week 26,658
Crockett County,week 27,1008
Crockett County,week 28,1499
Crockett County,week 29,1837
Crockett County,week 30,2077
Crockett County,week 31,2430
Crockett County,week 32,2738
Crockett County,week 33,2955
Crockett County,week 34,3210
Crockett County,week 35,481
Cumberland County,week 1,0
Cumberland County,week 2,0
Cumberland County,week 3,0
Cumberland County,week 4,0
Cumberland County,week 5,0
Cumberland County,week 6,0
Cumberland County,week 7,0
Cumberland County,week 8,0
Cumberland County,week 9,12
Cumberland County,week 10,52
Cumberland County,week 11,159
Cumberland County,week 12,282
Cumberland County,week 13,395
Cumberland County,week 14,458
Cumberland County,week 15,544
Cumberland County,week 16,590
Cumberland County,week 17,626
Cumberland County,week 18,723
Cumberland County,week 19,792
Cumberland County,week 20,859
Cumberland County,week 21,918
Cumberland County,week 22,983
Cumberland County,week 23,1117
Cumberland County,week 24,1257
Cumberland County,week 25,1479
Cumberland County,week 26,1765
Cumberland County,week 27,2102
Cumberland County,week 28,2580
Cumberland County,week 29,3035
Cumberland County,week 30,3833
Cumberland County,week 31,4769
Cumberland County,week 32,5555
Cumberland County,week 33,6731
Cumberland County,week 34,7298
Cumberland County,week 35,1100
Davidson County,week 1,0
Davidson County,week 2,0
Davidson County,week 3,0
Davidson County,week 4,0
Davidson County,week 5,0
Davidson County,week 6,0
Davidson County,week 7,3
Davidson County,week 8,111
Davidson County,week 9,885
Davidson County,week 10,1945
Davidson County,week 11,4974
Davidson County,week 12,7731
Davidson County,week 13,10618
Davidson County,week 14,14894
Davidson County,week 15,19427
Davidson County,week 16,23389
Davidson County,week 17,27168
Davidson County,week 18,31241
Davidson County,week 19,35386
Davidson County,week 20,40198
Davidson County,week 21,45810
Davidson County,week 22,52659
Davidson County,week 23,60470
Davidson County,week 24,74963
Davidson County,week 25,92370
Davidson County,week 26,109397
Davidson County,week 27,122673
Davidson County,week 28,133658
Davidson County,week 29,142588
Davidson County,week 30,151617
Davidson County,week 31,158549
Davidson County,week 32,163483
Davidson County,week 33,168344
Davidson County,week 34,175539
Davidson County,week 35,25578
Decatur County,week 1,0
Decatur County,week 2,0
Decatur County,week 3,0
Decatur County,week 4,0
Decatur County,week 5,0
Decatur County,week 6,0
Decatur County,week 7,0
Decatur County,week 8,0
Decatur County,week 9,0
Decatur County,week 10,0
Decatur County,week 11,0
Decatur County,week 12,12
Decatur County,week 13,26
Decatur County,week 14,28
Decatur County,week 15,28
Decatur County,week 16,28
Decatur County,week 17,34
Decatur County,week 18,35
Decatur County,week 19,35
Decatur County,week 20,39
Decatur County,week 21,98
Decatur County,week 22,104
Decatur County,week 23,126
Decatur County,week 24,152
Decatur County,week 25,208
Decatur County,week 26,381
Decatur County,week 27,653
Decatur County,week 28,1051
Decatur County,week 29,1401
Decatur County,week 30,1647
Decatur County,week 31,1843
Decatur County,week 32,2068
Decatur County,week 33,2370
Decatur County,week 34,2760
Decatur County,week 35,425
DeKalb County,week 1,0
DeKalb County,week 2,0
DeKalb County,week 3,0
DeKalb County,week 4,0
DeKalb County,week 5,0
DeKalb County,week 6,0
DeKalb County,week 7,0
DeKalb County,week 8,0
DeKalb County,week 9,2
DeKalb County,week 10,20
DeKalb County,week 11,41
DeKalb County,week 12,60
DeKalb County,week 13,70
DeKalb County,week 14,83
DeKalb County,week 15,135
DeKalb County,week 16,186
DeKalb County,week 17,204
DeKalb County,week 18,231
DeKalb County,week 19,262
DeKalb County,week 20,274
DeKalb County,week 21,287
DeKalb County,week 22,292
DeKalb County,week 23,331
DeKalb County,week 24,442
DeKalb County,week 25,597
DeKalb County,week 26,985
DeKalb County,week 27,1493
DeKalb County,week 28,2087
DeKalb County,week 29,2436
DeKalb County,week 30,2690
DeKalb County,week 31,2881
DeKalb County,week 32,3175
DeKalb County,week 33,3492
DeKalb County,week 34,3640
DeKalb County,week 35,536
Dickson County,week 1,0
Dickson County,week 2,0
Dickson County,week 3,0
Dickson County,week 4,0
Dickson County,week 5,0
Dickson County,week 6,0
Dickson County,week 7,0
Dickson County,week 8,0
Dickson County,week 9,19
Dickson County,week 10,72
Dickson County,week 11,155
Dickson County,week 12,206
Dickson County,week 13,298
Dickson County,week 14,440
Dickson County,week 15,541
Dickson County,week 16,599
Dickson County,week 17,635
Dickson County,week 18,704
Dickson County,week 19,772
Dickson County,week 20,860
Dickson County,week 21,932
Dickson County,week 22,1012
Dickson County,week 23,1118
Dickson County,week 24,1421
Dickson County,week 25,1835
Dickson County,week 26,2508
Dickson County,week 27,3241
Dickson County,week 28,4030
Dickson County,week 29,4721
Dickson County,week 30,5339
Dickson County,week 31,5840
Dickson County,week 32,6315
Dickson County,week 33,6945
Dickson County,week 34,7777
Dickson County,week 35,1148
Dyer County,week 1,0
Dyer County,week 2,0
Dyer County,week 3,0
Dyer County,week 4,0
Dyer County,week 5,0
Dyer County,week 6,0
Dyer County,week 7,0
Dyer County,week 8,0
Dyer County,week 9,10
Dyer County,week 10,20
Dyer County,week 11,48
Dyer County,week 12,121
Dyer County,week 13,181
Dyer County,week 14,215
Dyer County,week 15,252
Dyer County,week 16,286
Dyer County,week 17,309
Dyer County,week 18,328
Dyer County,week 19,356
Dyer County,week 20,431
Dyer County,week 21,608
Dyer County,week 22,1020
Dyer County,week 23,1350
Dyer County,week 24,1711
Dyer County,week 25,2019
Dyer County,week 26,2494
Dyer County,week 27,2962
Dyer County,week 28,3660
Dyer County,week 29,4400
Dyer County,week 30,5053
Dyer County,week 31,5784
Dyer County,week 32,6566
Dyer County,week 33,7237
Dyer County,week 34,7810
Dyer County,week 35,1185
Fayette County,week 1,0
Fayette County,week 2,0
Fayette County,week 3,0
Fayette County,week 4,0
Fayette County,week 5,0
Fayette County,week 6,0
Fayette County,week 7,0
Fayette County,week 8,0
Fayette County,week 9,7
Fayette County,week 10,45
Fayette County,week 11,125
Fayette County,week 12,210
Fayette County,week 13,309
Fayette County,week 14,352
Fayette County,week 15,427
Fayette County,week 16,539
Fayette County,week 17,626
Fayette County,week 18,719
Fayette County,week 19,798
Fayette County,week 20,1021
Fayette County,week 21,1193
Fayette County,week 22,1372
Fayette County,week 23,1710
Fayette County,week 24,2183
Fayette County,week 25,2558
Fayette County,week 26,3148
Fayette County,week 27,3669
Fayette County,week 28,4249
Fayette County,week 29,4758
Fayette County,week 30,5216
Fayette County,week 31,5651
Fayette County,week 32,6114
Fayette County,week 33,6851
Fayette County,week 34,7264
Fayette County,week 35,1088
Fentress County,week 1,0
Fentress County,week 2,0
Fentress County,week 3,0
Fentress County,week 4,0
Fentress County,week 5,0
Fentress County,week 6,0
Fentress County,week 7,0
Fentress County,week 8,0
Fentress County,week 9,0
Fentress County,week 10,2
Fentress County,week 11,10
Fentress County,week 12,15
Fentress County,week 13,27
Fentress County,week 14,28
Fentress County,week 15,30
Fentress County,week 16,39
Fentress County,week 17,45
Fentress County,week 18,69
Fentress County,week 19,84
Fentress County,week 20,85
Fentress County,week 21,97
Fentress County,week 22,105
Fentress County,week 23,111
Fentress County,week 24,150
Fentress County,week 25,187
Fentress County,week 26,275
Fentress County,week 27,358
Fentress County,week 28,497
Fentress County,week 29,620
Fentress County,week 30,800
Fentress County,week 31,1011
Fentress County,week 32,1446
Fentress County,week 33,1981
Fentress County,week 34,2318
Fentress County,week 35,371
Franklin County,week 1,0
Franklin County,week 2,0
Franklin County,week 3,0
Franklin County,week 4,0
Franklin County,week 5,0
Franklin County,week 6,0
Franklin County,week 7,0
Franklin County,week 8,0
Franklin County,week 9,3
Franklin County,week 10,25
Franklin County,week 11,79
Franklin County,week 12,137
Franklin County,week 13,172
Franklin County,week 14,204
Franklin County,week 15,250
Franklin County,week 16,273
Franklin County,week 17,297
Franklin County,week 18,317
Franklin County,week 19,363
Franklin County,week 20,379
Franklin County,week 21,419
Franklin County,week 22,463
Franklin County,week 23,502
Franklin County,week 24,593
Franklin County,week 25,793
Franklin County,week 26,1038
Franklin County,week 27,1341
Franklin County,week 28,1860
Franklin County,week 29,2236
Franklin County,week 30,2578
Franklin County,week 31,2895
Franklin County,week 32,3354
Franklin County,week 33,4207
Franklin County,week 34,5098
Franklin County,week 35,811
Gibson County,week 1,0
Gibson County,week 2,0
Gibson County,week 3,0
Gibson County,week 4,0
Gibson County,week 5,0
Gibson County,week 6,0
Gibson County,week 7,0
Gibson County,week 8,0
Gibson County,week 9,4
Gibson County,week 10,22
Gibson County,week 11,63
Gibson County,week 12,127
Gibson County,week 13,198
Gibson County,week 14,253
Gibson County,week 15,329
Gibson County,week 16,374
Gibson County,week 17,405
Gibson County,week 18,418
Gibson County,week 19,431
Gibson County,week 20,443
Gibson County,week 21,470
Gibson County,week 22,522
Gibson County,week 23,624
Gibson County,week 24,856
Gibson County,week 25,1249
Gibson County,week 26,2013
Gibson County,week 27,2727
Gibson County,week 28,3776
Gibson County,week 29,4800
Gibson County,week 30,5604
Gibson County,week 31,6698
Gibson County,week 32,7568
Gibson County,week 33,8246
Gibson County,week 34,9261
Gibson County,week 35,1417
Giles County,week 1,0
Giles County,week 2,0
Giles County,week 3,0
Giles County,week 4,0
Giles County,week 5,0
Giles County,week 6,0
Giles County,week 7,0
Giles County,week 8,0
Giles County,week 9,0
Giles County,week 10,4
Giles County,week 11,21
Giles County,week 12,21
Giles County,week 13,34
Giles County,week 14,35
Giles County,week 15,55
Giles County,week 16,63
Giles County,week 17,70
Giles County,week 18,84
Giles County,week 19,84
Giles County,week 20,111
Giles County,week 21,147
Giles County,week 22,181
Giles County,week 23,320
Giles County,week 24,411
Giles County,week 25,707
Giles County,week 26,1268
Giles County,week 27,1795
Giles County,week 28,2316
Giles County,week 29,2629
Giles County,week 30,2849
Giles County,week 31,2984
Giles County,week 32,3078
Giles County,week 33,3311
Giles County,week 34,3582
Giles County,week 35,539
Grainger County,week 1,0
Grainger County,week 2,0
Grainger County,week 3,0
Grainger County,week 4,0
Grainger County,week 5,0
Grainger County,week 6,0
Grainger County,week 7,0
Grainger County,week 8,0
Grainger County,week 9,0
Grainger County,week 10,0
Grainger County,week 11,21
Grainger County,week 12,26
Grainger County,week 13,28
Grainger County,week 14,30
Grainger County,week 15,40
Grainger County,week 16,42
Grainger County,week 17,42
Grainger County,week 18,42
Grainger County,week 19,59
Grainger County,week 20,100
Grainger County,week 21,130
Grainger County,week 22,169
Grainger County,week 23,200
Grainger County,week 24,288
Grainger County,week 25,383
Grainger County,week 26,511
Grainger County,week 27,732
Grainger County,week 28,1129
Grainger County,week 29,1361
Grainger County,week 30,1523
Grainger County,week 31,1709
Grainger County,week 32,1885
Grainger County,week 33,1930
Grainger County,week 34,2174
Grainger County,week 35,329
Greene County,week 1,0
Greene County,week 2,0
Greene County,week 3,0
Greene County,week 4,0
Greene County,week 5,0
Greene County,week 6,0
Greene County,week 7,0
Greene County,week 8,0
Greene County,week 9,13
Greene County,week 10,64
Greene County,week 11,115
Greene County,week 12,173
Greene County,week 13,219
Greene County,week 14,281
Greene County,week 15,301
Greene County,week 16,311
Greene County,week 17,322
Greene County,week 18,327
Greene County,week 19,351
Greene County,week 20,364
Greene County,week 21,371
Greene County,week 22,387
Greene County,week 23,506
Greene County,week 24,701
Greene County,week 25,1005
Greene County,week 26,1418
Greene County,week 27,1868
Greene County,week 28,2462
Greene County,week 29,3230
Greene County,week 30,4041
Greene County,week 31,4908
Greene County,week 32,5630
Greene County,week 33,6342
Greene County,week 34,6867
Greene County,week 35,1026
Grundy County,week 1,0
Grundy County,week 2,0
Grundy County,week 3,0
Grundy County,week 4,0
Grundy County,week 5,0
Grundy County,week 6,0
Grundy County,week 7,0
Grundy County,week 8,0
Grundy County,week 9,1
Grundy County,week 10,13
Grundy County,week 11,80
Grundy County,week 12,139
Grundy County,week 13,175
Grundy County,week 14,193
Grundy County,week 15,196
Grundy County,week 16,208
Grundy County,week 17,211
Grundy County,week 18,217
Grundy County,week 19,217
Grundy County,week 20,222
Grundy County,week 21,233
Grundy County,week 22,304
Grundy County,week 23,403
Grundy County,week 24,420
Grundy County,week 25,459
Grundy County,week 26,499
Grundy County,week 27,568
Grundy County,week 28,682
Grundy County,week 29,782
Grundy County,week 30,893
Grundy County,week 31,979
Grundy County,week 32,1036
Grundy County,week 33,1085
Grundy County,week 34,1226
Grundy County,week 35,198
Hamblen County,week 1,0
Hamblen County,week 2,0
Hamblen County,week 3,0
Hamblen County,week 4,0
Hamblen County,week 5,0
Hamblen County,week 6,0
Hamblen County,week 7,0
Hamblen County,week 8,0
Hamblen County,week 9,9
Hamblen County,week 10,14
Hamblen County,week 11,25
Hamblen County,week 12,33
Hamblen County,week 13,57
Hamblen County,week 14,103
Hamblen County,week 15,128
Hamblen County,week 16,146
Hamblen County,week 17,168
Hamblen County,week 18,176
Hamblen County,week 19,255
Hamblen County,week 20,338
Hamblen County,week 21,514
Hamblen County,week 22,759
Hamblen County,week 23,1274
Hamblen County,week 24,2247
Hamblen County,week 25,3234
Hamblen County,week 26,4418
Hamblen County,week 27,6167
Hamblen County,week 28,8360
Hamblen County,week 29,9633
Hamblen County,week 30,10357
Hamblen County,week 31,10936
Hamblen County,week 32,11487
Hamblen County,week 33,11769
Hamblen County,week 34,12242
Hamblen County,week 35,1797
Hamilton County,week 1,0
Hamilton County,week 2,0
Hamilton County,week 3,0
Hamilton County,week 4,0
Hamilton County,week 5,0
Hamilton County,week 6,0
Hamilton County,week 7,0
Hamilton County,week 8,4
Hamilton County,week 9,38
Hamilton County,week 10,231
Hamilton County,week 11,500
Hamilton County,week 12,726
Hamilton County,week 13,807
Hamilton County,week 14,965
Hamilton County,week 15,1172
Hamilton County,week 16,1599
